Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Tampa Bay BuccaneersTampa Bay,vs GB,22,5.0,2,0,0,0,1,10,107,94,201
Pittsburgh SteelersPittsburgh,vs CLE,21,4.0,2,0,0,0,1,7,145,75,220
Arizona CardinalsArizona,@ DAL,18,3.0,2,0,2,0,0,10,247,97,344
Denver BroncosDenver,@ NE,17,4.0,2,0,1,0,0,12,171,117,288
New York GiantsNY Giants,vs WAS,17,3.0,1,0,1,0,1,19,251,86,337
Miami DolphinsMiami,vs NYJ,15,3.0,1,0,0,0,0,0,148,115,263
Chicago BearsChicago,@ CAR,14,4.0,2,0,1,0,0,16,191,112,303
New England PatriotsNew England,vs DEN,10,2.0,2,0,0,0,0,18,164,135,299
Detroit LionsDetroit,@ JAX,9,1.0,1,0,1,0,0,16,231,44,275
Atlanta FalconsAtlanta,@ MIN,8,1.0,3,0,0,0,0,23,333,32,365
Baltimore RavensBaltimore,@ PHI,8,6.0,0,0,1,0,0,28,170,194,364
San Francisco 49ersSan Francisco,vs LA,8,0.0,1,0,0,1,0,16,198,113,311
Houston TexansHouston,@ TEN,8,2.0,1,0,1,1,0,42,344,263,607
Washington Football TeamWashington,@ NYG,7,1.0,1,0,0,0,0,20,108,132,240
New York JetsNY Jets,@ MIA,7,2.0,2,0,0,0,0,24,192,110,302
Kansas City ChiefsKansas City,@ BUF,6,0.0,1,0,0,0,0,17,122,84,206
Indianapolis ColtsIndianapolis,vs CIN,5,2.0,1,0,0,0,0,27,300,98,398
Cincinnati BengalsCincinnati,@ IND,5,1.0,1,0,1,0,0,31,371,59,430
Minnesota VikingsMinnesota,vs ATL,4,2.0,0,0,1,0,0,40,363,99,462
Buffalo BillsBuffalo,vs KC,4,1.0,0,0,1,0,0,26,221,245,466
Philadelphia EaglesPhiladelphia,vs BAL,3,3.0,0,0,0,0,0,30,173,182,355
Carolina PanthersCarolina,vs CHI,3,0.0,1,0,0,0,0,23,198,63,261
Jacksonville JaguarsJacksonville,vs DET,2,0.0,1,0,0,0,0,34,223,180,403
Cleveland BrownsCleveland,@ PIT,2,2.0,0,0,0,0,0,38,148,129,277
Tennessee TitansTennessee,vs HOU,2,2.0,0,0,0,0,0,36,320,92,412
Dallas CowboysDallas,vs ARI,1,1.0,0,0,0,0,0,38,177,261,438
Los Angeles RamsLA Rams,@ SF,1,0.0,0,0,0,0,0,24,268,122,390
Green Bay PackersGreen Bay,@ TB,0,0.0,0,0,0,0,0,38,166,158,324
