Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Philadelphia EaglesPhiladelphia,@ DAL,23,3.0,1,0,4,0,0,6,49,97,146
Buffalo BillsBuffalo,@ IND,22,4.0,3,0,1,0,1,20,240,121,361
New England PatriotsNew England,@ CHI,19,9.0,0,0,0,0,0,3,69,73,142
Minnesota VikingsMinnesota,@ JAX,16,3.0,2,0,1,0,0,7,87,56,143
Arizona CardinalsArizona,vs NYJ,15,3.0,0,0,1,0,0,6,128,79,207
Jacksonville JaguarsJacksonville,vs MIN,14,1.0,3,0,0,0,0,12,233,169,402
Carolina PanthersCarolina,vs NYG,12,2.0,2,0,1,0,0,17,175,167,342
Miami DolphinsMiami,@ LA,12,4.0,1,0,1,0,0,15,257,70,327
New Orleans SaintsNew Orleans,vs ATL,11,3.0,1,0,0,1,0,17,287,181,468
Houston TexansHouston,vs DET,11,0.0,5,0,0,0,0,26,240,105,345
Los Angeles ChargersLA Chargers,vs TEN,11,7.0,0,0,0,0,0,17,157,132,289
Detroit LionsDetroit,@ HOU,9,4.0,2,0,0,0,0,23,192,56,248
Dallas CowboysDallas,vs PHI,9,5.0,1,0,1,0,0,34,161,187,348
Denver BroncosDenver,@ KC,8,4.0,0,0,0,0,0,16,243,57,300
Kansas City ChiefsKansas City,vs DEN,8,2.0,0,0,0,1,0,14,182,78,260
Los Angeles RamsLA Rams,vs MIA,8,3.0,1,0,1,0,0,23,171,67,238
New York GiantsNY Giants,@ CAR,7,1.0,0,0,1,0,0,20,118,188,306
Washington CommandersWashington,vs PIT,7,3.0,1,0,1,0,0,28,172,140,312
Chicago BearsChicago,vs NE,7,1.0,1,0,0,0,0,19,184,144,328
Indianapolis ColtsIndianapolis,vs BUF,6,2.0,2,0,0,0,0,30,280,135,415
Pittsburgh SteelersPittsburgh,@ WAS,6,3.0,0,0,1,0,0,27,182,60,242
San Francisco 49ersSan Francisco,@ TB,6,2.0,0,0,0,0,0,20,105,110,215
Tampa Bay BuccaneersTampa Bay,vs SF,6,3.0,0,0,1,0,0,23,338,75,413
Baltimore RavensBaltimore,vs CIN,5,3.0,0,0,1,0,0,34,421,49,470
Atlanta FalconsAtlanta,@ NO,4,0.0,0,0,0,0,0,20,269,96,365
New York JetsNY Jets,@ ARI,1,1.0,0,0,0,0,0,31,259,147,406
Tennessee TitansTennessee,@ LAC,1,0.0,0,0,0,0,0,27,164,145,309
Cincinnati BengalsCincinnati,@ BAL,0,0.0,0,0,0,0,0,35,290,99,389
