Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Washington CommandersWAS,WAS@PHI,16.00,1.0,1,0,3,0,1,21,170,94,264
Minnesota VikingsMIN,MIN@BUF,16.00,2.0,2,0,2,0,1,30,311,175,486
Tennessee TitansTEN,DEN@TEN,15.00,6.0,1,0,0,0,0,10,248,65,313
Carolina PanthersCAR,ATL@CAR,13.00,5.0,1,0,0,1,0,15,153,138,291
Pittsburgh SteelersPIT,NO@PIT,13.00,2.0,2,0,0,0,0,10,157,29,186
New York GiantsNYG,HOU@NYG,12.00,4.0,1,0,1,0,0,16,286,101,387
Detroit LionsDET,DET@CHI,11.00,3.0,1,0,0,0,1,30,150,258,408
Arizona CardinalsARI,ARI@LA,11.00,3.0,1,0,1,0,0,17,190,66,256
New Orleans SaintsNO,NO@PIT,10.00,6.0,0,0,0,0,0,20,162,217,379
Miami DolphinsMIA,CLE@MIA,9.00,3.0,0,0,1,0,0,17,185,112,297
Tampa Bay BuccaneersTB,SEA@TB,9.00,3.0,0,0,1,0,0,16,244,39,283
San Francisco 49ersSF,LAC@SF,9.00,3.0,1,0,0,0,0,16,187,51,238
Kansas City ChiefsKC,JAX@KC,9.00,5.0,0,0,0,0,0,17,240,75,315
Buffalo BillsBUF,MIN@BUF,8.00,4.0,2,0,0,0,0,33,334,147,481
Jacksonville JaguarsJAX,JAX@KC,7.00,0.0,1,0,2,0,0,27,331,155,486
Denver BroncosDEN,DEN@TEN,7.00,1.0,0,0,1,0,0,17,244,63,307
Philadelphia EaglesPHI,WAS@PHI,7.00,3.0,1,0,1,0,0,32,178,152,330
Indianapolis ColtsIND,IND@LV,6.00,2.0,0,0,0,0,0,20,232,77,309
Green Bay PackersGB,DAL@GB,6.00,2.0,2,0,0,0,0,28,262,159,421
Dallas CowboysDAL,DAL@GB,6.00,2.0,0,0,2,0,0,31,208,207,415
Seattle SeahawksSEA,SEA@TB,5.00,0.0,2,0,0,0,0,21,258,161,419
Houston TexansHOU,HOU@NYG,4.00,3.0,0,0,0,0,0,24,176,191,367
Las Vegas RaidersLV,IND@LV,4.00,1.0,0,0,1,0,0,25,208,207,415
Los Angeles ChargersLAC,LAC@SF,4.00,1.0,0,0,1,0,0,22,230,157,387
Los Angeles RamsLA,ARI@LA,3.00,2.0,0,0,0,0,0,27,220,78,298
Chicago BearsCHI,DET@CHI,2.00,2.0,0,0,0,0,0,31,228,95,323
Atlanta FalconsATL,ATL@CAR,2.00,1.0,0,0,0,0,0,25,101,232,333
Cleveland BrownsCLE,CLE@MIA,1.00,1.0,0,0,0,0,0,39,296,195,491
