Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Jake ElliottPHIJ. ElliottPHI,@ DEN,14,3,3,3,3,1
Zane GonzalezCARZ. GonzalezCAR,@ ARI,14,2,2,4,4,0
Chris BoswellPITC. BoswellPIT,vs DET,12,1,1,3,3,1
Michael BadgleyINDM. BadgleyIND,vs JAX,11,2,2,3,3,0
Randy BullockTENR. BullockTEN,vs NO,11,2,2,3,3,0
Harrison ButkerKCH. ButkerKC,@ LV,11,5,5,3,2,0
Joey SlyeWASJ. SlyeWAS,vs TB,11,2,2,3,3,0
Jason SandersMIAJ. SandersMIA,vs BAL,10,1,1,3,3,0
Tyler BassBUFT. BassBUF,@ NYJ,9,6,6,1,1,0
Nick FolkNEN. FolkNE,vs CLE,9,6,6,1,1,0
Robbie GouldSFR. GouldSF,vs LA,9,4,4,1,1,1
Greg JosephMING. JosephMIN,@ LAC,9,3,3,2,2,0
Dustin HopkinsLACD. HopkinsLAC,vs MIN,8,2,2,2,2,0
Brandon McManusDENB. McManusDEN,vs PHI,7,1,1,3,2,0
Ryan SuccopTBR. SuccopTB,@ WAS,7,2,1,2,2,0
Matt AmmendolaNYJM. AmmendolaNYJ,vs BUF,5,2,2,1,1,0
Mason CrosbyGBM. CrosbyGB,vs SEA,5,2,2,2,1,0
Lirim HajrullahuCARL. HajrullahuCAR,@ DAL,5,5,5,0,0,0
Matthew WrightJAXM. WrightJAX,@ IND,5,1,0,2,1,1
Matt GayLAM. GayLA,@ SF,4,1,1,1,1,0
Matt PraterARIM. PraterARI,vs CAR,4,1,1,1,1,0
Ryan SantosoLAR. SantosoLA,@ PIT,4,2,1,2,1,0
Justin TuckerBALJ. TuckerBAL,@ MIA,4,1,1,2,1,0
Brian JohnsonWASB. JohnsonWAS,@ TEN,3,2,0,1,1,0
Younghoe KooATLY. KooATL,@ DAL,3,0,0,1,1,0
Daniel CarlsonLVD. CarlsonLV,vs KC,2,2,2,0,0,0
Chase McLaughlinCLEC. McLaughlinCLE,@ NE,1,1,1,0,0,0
