Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Tampa Bay BuccaneersTampa Bay,@ NO,29,6.0,3,0,2,0,1,10,208,100,308
Buffalo BillsBuffalo,vs TEN,23,2.0,2,0,2,0,1,7,107,80,187
Jacksonville JaguarsJacksonville,vs IND,21,5.0,3,0,0,0,0,0,164,54,218
Atlanta FalconsAtlanta,@ LA,17,1.0,2,1,1,1,1,31,272,65,337
San Francisco 49ersSan Francisco,vs SEA,15,2.0,2,0,1,0,0,7,180,36,216
Philadelphia EaglesPhiladelphia,vs MIN,15,2.0,3,0,0,0,0,7,202,62,264
Green Bay PackersGreen Bay,vs CHI,12,3.0,1,0,0,0,0,10,48,180,228
Baltimore RavensBaltimore,vs MIA,11,1.0,2,0,0,0,1,42,461,86,547
Kansas City ChiefsKansas City,vs LAC,11,2.0,1,0,0,0,1,24,326,75,401
New England PatriotsNew England,@ PIT,11,3.0,1,0,1,0,0,14,152,91,243
Dallas CowboysDallas,vs CIN,10,6.0,0,0,0,0,0,17,165,89,254
Denver BroncosDenver,vs HOU,10,3.0,0,0,0,0,0,9,154,80,234
Detroit LionsDetroit,vs WAS,10,5.0,1,1,0,0,0,27,308,88,396
Arizona CardinalsArizona,@ LV,10,1.0,0,0,1,0,1,23,244,80,324
Seattle SeahawksSeattle,@ SF,10,1.0,0,0,0,1,1,27,184,189,373
Los Angeles RamsLA Rams,vs ATL,10,3.0,2,0,1,0,0,27,171,90,261
New York GiantsNY Giants,vs CAR,10,2.0,0,0,2,0,0,16,129,146,275
Houston TexansHouston,@ DEN,9,3.0,1,0,0,0,0,16,201,149,350
Minnesota VikingsMinnesota,@ PHI,8,3.0,1,0,0,1,0,24,323,163,486
Cincinnati BengalsCincinnati,@ DAL,7,1.0,0,0,1,0,0,20,230,107,337
New Orleans SaintsNew Orleans,vs TB,7,1.0,0,0,1,0,0,20,188,72,260
Carolina PanthersCarolina,@ NYG,7,3.0,0,0,0,0,0,19,162,103,265
Chicago BearsChicago,@ GB,6,3.0,0,0,1,0,0,27,211,203,414
Pittsburgh SteelersPittsburgh,vs NE,6,0.0,1,0,0,0,0,17,252,124,376
Cleveland BrownsCleveland,vs NYJ,4,2.0,0,0,1,0,0,31,309,93,402
Washington CommandersWashington,@ DET,3,3.0,0,0,0,0,0,36,234,191,425
Las Vegas RaidersLas Vegas,vs ARI,3,1.0,1,0,0,0,0,29,270,143,413
New York JetsNY Jets,@ CLE,3,1.0,1,0,0,0,0,30,221,184,405
Los Angeles ChargersLA Chargers,@ KC,2,1.0,0,0,0,0,0,27,226,93,319
Tennessee TitansTennessee,@ BUF,1,1.0,0,0,0,0,0,41,313,101,414
Indianapolis ColtsIndianapolis,@ JAX,1,0.0,0,0,0,0,0,24,235,96,331
Miami DolphinsMiami,@ BAL,0,0.0,0,0,0,0,0,38,318,155,473
