Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jordan LoveJ. Love,MIN@GB,35.00,54,32,389,4,3,1,1,6,0,0,0,0,0,0,0,0
Justin FieldsJ. Fields,PIT@IND,34.00,34,22,312,1,0,0,10,55,2,0,0,0,0,0,1,0
Derrick HenryD. Henry,BUF@BAL,32.00,0,0,0,0,0,0,24,199,1,0,3,10,1,0,0,0
Baker MayfieldB. Mayfield,PHI@TB,32.00,47,30,347,2,0,0,4,10,1,0,0,0,0,0,0,0
Jared GoffJ. Goff,SEA@DET,29.00,18,18,292,2,0,0,2,-2,0,0,1,7,1,0,0,0
Kenneth WalkerK. Walker,SEA@DET,29.00,0,0,0,0,0,0,12,80,3,0,4,36,0,0,0,0
Lamar JacksonL. Jackson,BUF@BAL,28.00,18,13,156,2,0,0,6,54,1,0,0,0,0,0,1,0
Sam DarnoldS. Darnold,MIN@GB,27.00,28,20,275,3,1,0,7,15,0,0,0,0,0,0,1,0
C.J. StroudC. Stroud,JAX@HOU,26.00,40,27,345,2,0,0,3,17,0,0,0,0,0,0,0,0
Jayden DanielsJ. Daniels,WAS@ARI,25.00,30,26,233,1,1,1,8,47,1,0,0,0,0,0,0,0
Geno SmithG. Smith,SEA@DET,22.00,56,38,395,1,1,0,5,38,0,0,0,0,0,0,0,0
D'Andre SwiftD. Swift,LA@CHI,22.00,0,0,0,0,0,0,16,93,1,0,7,72,0,0,0,0
Chase BrownC. Brown,CIN@CAR,21.00,0,0,0,0,0,0,15,80,2,0,2,12,0,0,0,0
Nico CollinsN. Collins,JAX@HOU,21.00,0,0,0,0,0,0,0,0,0,0,12,151,1,0,0,0
Jordan MasonJ. Mason,NE@SF,21.00,0,0,0,0,0,0,24,123,1,0,2,37,0,0,0,0
Joe BurrowJ. Burrow,CIN@CAR,20.00,31,22,232,2,1,0,1,10,0,0,0,0,0,0,0,0
Dak PrescottD. Prescott,DAL@NYG,20.00,27,22,221,2,0,0,2,-1,0,0,0,0,0,0,0,0
Jordan AddisonJ. Addison,MIN@GB,19.00,0,0,0,0,0,0,1,7,1,0,3,72,1,0,0,0
Jahmyr GibbsJ. Gibbs,SEA@DET,19.00,0,0,0,0,0,0,14,78,2,0,0,0,0,0,0,0
Jalen HurtsJ. Hurts,PHI@TB,19.00,30,18,158,1,0,0,8,20,1,0,0,0,0,0,1,0
Jayden ReedJ. Reed,MIN@GB,19.00,0,0,0,0,0,0,1,2,0,0,7,139,1,0,0,0
Dontayvion WicksD. Wicks,MIN@GB,19.00,0,0,0,0,0,0,0,0,0,0,5,78,2,0,0,0
Andy DaltonA. Dalton,CIN@CAR,18.00,40,25,220,2,1,0,3,9,0,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,PIT@IND,18.00,26,16,168,2,0,0,2,3,0,0,0,0,0,0,0,0
Trevor LawrenceT. Lawrence,JAX@HOU,18.00,33,18,169,2,0,0,3,5,0,0,0,-5,0,0,0,0
Jeremy McNicholsJ. McNichols,WAS@ARI,18.00,0,0,0,0,0,0,8,68,2,0,1,6,0,0,0,0
Chuba HubbardC. Hubbard,CIN@CAR,17.00,0,0,0,0,0,0,18,104,1,0,4,17,0,0,0,0
Alvin KamaraA. Kamara,NO@ATL,17.00,0,0,0,0,0,0,19,77,1,0,7,42,0,0,0,0
Brian RobinsonB. Robinson,WAS@ARI,17.00,0,0,0,0,0,0,21,101,1,0,3,12,0,0,0,0
James ConnerJ. Conner,WAS@ARI,16.00,0,0,0,0,0,0,18,104,1,0,1,9,0,0,0,0
Tony PollardT. Pollard,TEN@MIA,16.00,0,0,0,0,0,0,22,88,1,0,2,20,0,0,0,0
Brock PurdyB. Purdy,NE@SF,16.00,27,15,288,1,1,0,5,11,0,0,0,0,0,0,0,0
Amon-Ra St. BrownA. St. Brown,SEA@DET,16.00,1,1,7,1,0,0,0,0,0,0,6,45,1,0,0,0
Jonathan TaylorJ. Taylor,PIT@IND,16.00,0,0,0,0,0,0,21,88,1,0,3,20,0,0,0,0
Kyren WilliamsK. Williams,LA@CHI,16.00,0,0,0,0,0,0,19,94,1,0,4,10,0,0,0,0
Mike EvansM. Evans,PHI@TB,15.00,0,0,0,0,0,0,0,0,0,0,8,94,1,0,0,0
CeeDee LambC. Lamb,DAL@NYG,15.00,0,0,0,0,0,0,3,8,0,0,7,98,1,0,0,0
Brian ThomasB. Thomas,JAX@HOU,15.00,0,0,0,0,0,0,1,13,0,0,6,86,1,0,0,0
Ja'Marr ChaseJ. Chase,CIN@CAR,14.00,0,0,0,0,0,0,0,0,0,0,3,85,1,0,0,0
Josh DownsJ. Downs,PIT@IND,14.00,0,0,0,0,0,0,0,0,0,0,8,82,1,0,0,0
Justice HillJ. Hill,BUF@BAL,14.00,0,0,0,0,0,0,4,18,0,0,6,78,1,0,0,0
Taysom HillT. Hill,NO@ATL,14.00,0,0,0,0,0,0,6,24,2,0,0,0,0,0,0,0
Justin JeffersonJ. Jefferson,MIN@GB,14.00,0,0,0,0,0,0,0,0,0,0,6,85,1,0,0,0
Diontae JohnsonD. Johnson,CIN@CAR,14.00,0,0,0,0,0,0,0,0,0,0,7,83,1,0,0,0
Patrick MahomesP. Mahomes,KC@LAC,14.00,29,19,245,1,1,0,5,12,0,0,0,0,0,0,0,0
David MontgomeryD. Montgomery,SEA@DET,14.00,0,0,0,0,0,0,12,40,1,0,1,40,0,0,0,0
Deshaun WatsonD. Watson,CLE@LV,14.00,32,24,176,1,1,0,8,32,0,0,0,0,0,0,0,0
Jameson WilliamsJ. Williams,SEA@DET,14.00,0,0,0,0,0,0,0,0,0,0,2,80,1,0,0,0
Justin HerbertJ. Herbert,KC@LAC,13.00,27,16,179,1,0,0,3,0,0,0,0,0,0,0,0,0
Aaron JonesA. Jones,MIN@GB,13.00,0,0,0,0,0,0,22,93,0,0,4,46,0,0,0,0
Xavier LegetteX. Legette,CIN@CAR,13.00,0,0,0,0,0,0,2,10,0,0,6,66,1,0,0,0
Zack MossZ. Moss,CIN@CAR,13.00,0,0,0,0,0,0,15,51,0,0,4,27,1,0,0,0
Caleb WilliamsC. Williams,LA@CHI,13.00,23,17,157,1,0,0,5,12,0,0,0,0,0,0,0,0
Xavier WorthyX. Worthy,KC@LAC,13.00,0,0,0,0,0,0,0,0,0,0,3,73,1,0,0,0
Stefon DiggsS. Diggs,JAX@HOU,12.00,0,0,0,0,0,0,1,6,1,0,5,69,0,0,0,0
Tyler HuntleyT. Huntley,TEN@MIA,12.00,22,14,96,0,0,0,8,40,1,0,0,0,0,0,1,0
Christian KirkC. Kirk,JAX@HOU,12.00,0,0,0,0,0,0,0,0,0,0,7,61,1,0,0,0
Tucker KraftT. Kraft,MIN@GB,12.00,0,0,0,0,0,0,0,0,0,0,6,53,1,1,1,0
Ladd McConkeyL. McConkey,KC@LAC,12.00,0,0,0,0,0,0,0,0,0,0,5,67,1,0,0,0
Courtland SuttonC. Sutton,DEN@NYJ,12.00,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0
Saquon BarkleyS. Barkley,PHI@TB,11.00,0,0,0,0,0,0,10,84,0,0,2,32,0,0,0,0
Rico DowdleR. Dowdle,DAL@NYG,11.00,0,0,0,0,0,0,11,46,0,0,1,15,1,0,0,0
Pat FreiermuthP. Freiermuth,PIT@IND,11.00,0,0,0,0,0,0,0,0,0,0,5,57,1,0,0,0
Terry McLaurinT. McLaurin,WAS@ARI,11.00,0,0,0,0,0,0,0,0,0,0,7,52,1,0,0,0
Kyler MurrayK. Murray,WAS@ARI,11.00,22,16,142,1,0,0,1,3,0,0,0,0,0,0,0,0
Malik NabersM. Nabers,DAL@NYG,11.00,0,0,0,0,0,0,1,-4,0,0,12,115,0,0,0,0
Michael PittmanM. Pittman,PIT@IND,11.00,0,0,0,0,0,0,0,0,0,0,6,113,0,0,0,0
Aaron RodgersA. Rodgers,DEN@NYJ,11.00,42,24,225,0,0,0,5,26,0,0,0,0,0,0,0,0
Marvin HarrisonM. Harrison,WAS@ARI,10.00,0,0,0,0,0,0,0,0,0,0,5,45,1,0,0,0
Mar'Keise IrvingM. Irving,PHI@TB,10.00,0,0,0,0,0,0,10,49,1,0,1,6,0,0,0,0
George KittleG. Kittle,NE@SF,10.00,0,0,0,0,0,0,0,0,0,0,4,45,1,0,0,0
Dare OgunbowaleD. Ogunbowale,JAX@HOU,10.00,0,0,0,0,0,0,2,7,0,0,4,47,1,0,0,0
George PickensG. Pickens,PIT@IND,10.00,0,0,0,0,0,0,0,0,0,0,7,113,0,0,1,0
Tre TuckerT. Tucker,CLE@LV,10.00,0,0,0,0,0,0,1,3,1,0,5,41,0,0,0,0
Cartavious BigsbyC. Bigsby,JAX@HOU,9.00,0,0,0,0,0,0,7,90,0,0,0,0,0,0,0,0
Jacoby BrissettJ. Brissett,NE@SF,9.00,32,19,168,1,1,0,2,3,0,0,0,0,0,0,1,0
Daniel JonesD. Jones,DAL@NYG,9.00,40,29,281,0,1,0,4,3,0,0,0,0,0,0,0,0
D.K. MetcalfD. Metcalf,SEA@DET,9.00,0,0,0,0,0,0,0,0,0,0,7,104,0,0,1,0
Tyjae SpearsT. Spears,TEN@MIA,9.00,0,0,0,0,0,0,15,39,1,0,2,0,0,0,0,0
Josh AllenJ. Allen,BUF@BAL,8.00,29,16,180,0,0,0,5,21,0,0,0,0,0,0,1,0
Tyler AllgeierT. Allgeier,NO@ATL,8.00,0,0,0,0,0,0,8,60,0,0,2,20,0,0,0,0
Chatarius AtwellC. Atwell,LA@CHI,8.00,0,0,0,0,0,0,0,0,0,0,4,82,0,0,0,0
AJ BarnerA. Barner,SEA@DET,8.00,0,0,0,0,0,0,0,0,0,0,2,27,1,0,0,0
Jauan JenningsJ. Jennings,NE@SF,8.00,0,0,0,0,0,0,0,0,0,0,3,88,0,0,0,0
Roschon JohnsonR. Johnson,LA@CHI,8.00,0,0,0,0,0,0,7,26,1,0,0,0,0,0,0,0
Travis KelceT. Kelce,KC@LAC,8.00,0,0,0,0,0,0,0,0,0,0,7,89,0,0,0,0
D.J. MooreD. Moore,LA@CHI,8.00,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0
Bo NixB. Nix,DEN@NYJ,8.00,25,12,60,1,0,0,5,3,0,0,0,0,0,0,0,0
Chris OlaveC. Olave,NO@ATL,8.00,0,0,0,0,0,0,0,0,0,0,8,87,0,0,0,0
Trey PalmerT. Palmer,PHI@TB,8.00,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0
Rashid ShaheedR. Shaheed,NO@ATL,8.00,0,0,0,0,0,0,2,14,0,0,8,83,0,0,1,0
Olamide ZaccheausO. Zaccheaus,WAS@ARI,8.00,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0
Parris CampbellP. Campbell,PHI@TB,7.00,0,0,0,0,0,0,0,0,0,0,4,17,1,0,0,0
Derek CarrD. Carr,NO@ATL,7.00,36,28,239,0,1,0,3,5,0,0,0,0,0,0,0,0
Kirk CousinsK. Cousins,NO@ATL,7.00,35,21,238,0,1,0,0,0,0,0,0,0,0,0,0,0
