Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Cameron DickerLACC. DickerLAC,@ ARI,19,0,0,5,5,2
Wil LutzDENW. LutzDEN,@ NO,17,3,3,4,4,1
Austin SeibertWASA. SeibertWAS,vs CAR,16,4,4,4,4,0
Daniel CarlsonLVD. CarlsonLV,@ LA,15,0,0,5,5,0
Chris BoswellPITC. BoswellPIT,vs NYJ,13,4,4,3,3,0
Will ReichardMINW. ReichardMIN,vs DET,13,2,2,3,3,1
Justin TuckerBALJ. TuckerBAL,@ TB,13,5,5,2,2,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ GB,12,1,1,3,3,1
Matt GayINDM. GayIND,vs MIA,12,1,1,3,3,1
Jason MyersSEAJ. MyersSEA,@ ATL,12,4,4,2,2,1
Tyler BassBUFT. BassBUF,vs TEN,10,4,4,2,2,0
Anders CarlsonNYJA. CarlsonNYJ,@ SF,8,1,0,2,2,1
Jake BatesDETJ. BatesDET,@ MIN,7,4,4,1,1,0
Cam LittleJAXC. LittleJAX,vs NE,6,3,3,1,1,0
Brandon McManusGBB. McManusGB,vs HOU,6,3,3,1,1,0
Chase McLaughlinTBC. McLaughlinTB,vs BAL,5,2,2,2,1,0
Chad RylandARIC. RylandARI,vs LAC,5,2,2,1,1,0
Harrison ButkerKCH. ButkerKC,@ SF,4,4,4,0,0,0
Jake ElliottPHIJ. ElliottPHI,@ NYG,4,4,4,0,0,0
Nick FolkTENN. FolkTEN,@ BUF,4,1,1,1,1,0
Blake GrupeNOB. GrupeNO,vs DEN,4,1,1,1,1,0
Jason SandersMIAJ. SandersMIA,@ IND,4,1,1,2,1,0
Joey SlyeNEJ. SlyeNE,@ JAX,4,1,1,1,1,0
Greg JosephNYJG. JosephNYJ,@ NYG,3,0,0,1,1,0
Evan McPhersonCINE. McPhersonCIN,@ CLE,3,3,3,1,0,0
Joshua KartyLAJ. KartyLA,vs LV,2,3,2,1,0,0
Younghoe KooATLY. KooATL,vs SEA,2,2,2,1,0,0
Eddy PineiroCARE. PineiroCAR,@ WAS,1,1,1,0,0,0
Greg ZuerleinNYJG. ZuerleinNYJ,@ PIT,1,1,1,1,0,0
Dustin HopkinsCLED. HopkinsCLE,vs CIN,0,1,0,1,0,0
