Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New Orleans SaintsNew Orleans,@ TB,19,3.0,3,0,0,0,0,3,186,8,194
Tennessee TitansTennessee,vs CHI,17,3.0,0,0,2,0,1,17,319,56,375
Baltimore RavensBaltimore,@ IND,17,0.0,1,0,1,0,1,10,227,112,339
New York GiantsNY Giants,@ WAS,16,2.0,3,0,2,0,0,20,365,37,402
Buffalo BillsBuffalo,vs SEA,13,5.0,2,0,2,0,0,34,362,57,419
Minnesota VikingsMinnesota,vs DET,12,2.0,3,0,0,0,0,20,292,129,421
Pittsburgh SteelersPittsburgh,@ DAL,10,2.0,1,0,1,0,0,19,220,144,364
Green Bay PackersGreen Bay,@ SF,9,1.0,1,0,1,0,0,17,282,55,337
Miami DolphinsMiami,@ ARI,9,1.0,0,0,1,0,1,31,264,178,442
Seattle SeahawksSeattle,@ BUF,7,7.0,0,0,0,0,0,44,386,34,420
Washington Football TeamWashington,vs NYG,6,5.0,0,0,0,0,0,23,184,166,350
Jacksonville JaguarsJacksonville,vs HOU,5,2.0,0,0,1,0,0,27,267,107,374
Indianapolis ColtsIndianapolis,vs BAL,5,2.0,0,0,1,0,0,24,156,110,266
Houston TexansHouston,@ JAX,5,2.0,1,0,0,0,0,25,288,115,403
Detroit LionsDetroit,@ MIN,5,1.0,0,0,0,2,0,34,212,275,487
Tampa Bay BuccaneersTampa Bay,vs NO,5,1.0,0,0,2,0,0,38,282,138,420
Las Vegas RaidersLas Vegas,@ LAC,5,2.0,0,0,1,0,0,26,312,128,440
New England PatriotsNew England,@ NYJ,4,1.0,1,0,0,0,0,27,257,65,322
Denver BroncosDenver,@ ATL,4,2.0,1,0,0,0,0,34,271,92,363
Atlanta FalconsAtlanta,vs DEN,4,1.0,1,0,0,0,0,27,302,103,405
Chicago BearsChicago,@ TEN,4,3.0,0,0,0,0,0,24,136,92,228
Carolina PanthersCarolina,@ KC,4,2.0,0,0,1,0,0,33,361,36,397
Arizona CardinalsArizona,vs MIA,3,3.0,0,0,0,0,0,34,221,91,312
Los Angeles ChargersLA Chargers,vs LV,3,1.0,0,0,1,0,0,31,160,160,320
Dallas CowboysDallas,vs PIT,3,0.0,0,0,0,1,0,24,309,46,355
Kansas City ChiefsKansas City,vs CAR,2,2.0,0,0,0,0,0,31,331,104,435
San Francisco 49ersSan Francisco,vs GB,1,1.0,0,0,0,0,0,34,294,111,405
New York JetsNY Jets,vs NE,0,0.0,0,0,0,0,0,30,274,159,433
