Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Michael BadgleyLACM. BadgleyLAC,@ DEN,14,3,3,3,3,1
Wil LutzNOW. LutzNO,@ CHI,14,2,2,5,4,0
Younghoe KooATLY. KooATL,@ CAR,13,2,1,4,4,0
Cairo SantosCHIC. SantosCHI,vs NO,13,2,2,3,3,1
Ryan SuccopTBR. SuccopTB,@ NYG,13,1,1,4,4,0
Sergio CastilloNYJS. CastilloNYJ,@ KC,11,0,0,4,3,1
Greg ZuerleinDALG. ZuerleinDAL,@ PHI,11,0,0,4,3,1
Daniel CarlsonLVD. CarlsonLV,@ CLE,10,1,1,4,3,0
Justin TuckerBALJ. TuckerBAL,vs PIT,8,3,3,1,1,1
Randy BullockCINR. BullockCIN,vs TEN,7,4,4,1,1,0
Nick FolkNEN. FolkNE,@ BUF,7,1,1,2,2,0
Brandon McManusDENB. McManusDEN,vs LAC,7,4,4,1,1,0
Jason MyersSEAJ. MyersSEA,vs SF,7,5,4,1,1,0
Tyler BassBUFT. BassBUF,vs NE,6,3,3,1,1,0
Cody ParkeyCLEC. ParkeyCLE,vs LV,6,0,0,3,2,0
Harrison ButkerKCH. ButkerKC,vs NYJ,5,5,5,0,0,0
Kai ForbathLAK. ForbathLA,@ MIA,5,2,2,2,1,0
Graham GanoNYGG. GanoNYG,vs TB,5,2,2,1,1,0
Joey SlyeCARJ. SlyeCAR,vs ATL,5,2,2,1,1,0
Dan BaileyMIND. BaileyMIN,@ GB,4,4,4,0,0,0
Chris BoswellPITC. BoswellPIT,@ BAL,4,4,4,0,0,0
Jason SandersMIAJ. SandersMIA,vs LA,4,4,4,0,0,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ DET,3,5,3,0,0,0
Robbie GouldSFR. GouldSF,@ SEA,3,3,3,0,0,0
Matt PraterDETM. PraterDET,vs IND,3,3,3,1,0,0
Mason CrosbyGBM. CrosbyGB,vs MIN,2,2,2,0,0,0
Stephen GostkowskiTENS. GostkowskiTEN,@ CIN,2,2,2,1,0,0
Jake ElliottPHIJ. ElliottPHI,vs DAL,1,1,1,0,0,0
