Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Chicago BearsChicago,vs TEN,27,3.0,2,0,1,1,2,17,104,140,244
Minnesota VikingsMinnesota,@ NYG,25,5.0,2,0,0,0,1,6,166,74,240
Dallas CowboysDallas,@ CLE,20,6.0,2,0,0,0,1,17,137,93,230
New Orleans SaintsNew Orleans,vs CAR,17,4.0,2,0,1,0,0,10,135,58,193
Los Angeles ChargersLA Chargers,vs LV,17,4.0,1,0,2,0,0,10,225,71,296
Pittsburgh SteelersPittsburgh,@ ATL,15,2.0,2,0,1,0,0,10,137,89,226
New England PatriotsNew England,@ CIN,14,3.0,0,0,2,0,0,10,154,70,224
Seattle SeahawksSeattle,vs DEN,12,2.0,2,0,1,0,0,20,132,99,231
Denver BroncosDenver,@ SEA,11,2.0,1,2,1,0,0,26,158,146,304
Arizona CardinalsArizona,@ BUF,10,2.0,0,0,1,0,1,34,222,130,352
San Francisco 49ersSan Francisco,vs NYJ,9,1.0,1,0,1,0,0,19,198,68,266
Miami DolphinsMiami,vs JAX,9,3.0,0,0,1,0,0,17,139,128,267
Detroit LionsDetroit,vs LA,8,2.0,1,0,0,0,0,20,304,83,387
Green Bay PackersGreen Bay,@ PHI,8,2.0,2,0,1,0,0,34,266,144,410
Jacksonville JaguarsJacksonville,@ MIA,7,3.0,0,0,0,0,0,20,319,81,400
Kansas City ChiefsKansas City,vs BAL,7,1.0,0,0,1,0,0,20,267,185,452
Atlanta FalconsAtlanta,vs PIT,6,2.0,0,0,0,0,0,18,133,137,270
Tampa Bay BuccaneersTampa Bay,vs WAS,6,2.0,0,0,0,0,0,20,161,138,299
Indianapolis ColtsIndianapolis,vs HOU,6,4.0,0,0,0,1,0,29,204,213,417
Buffalo BillsBuffalo,vs ARI,6,4.0,0,0,1,0,0,28,146,124,270
Houston TexansHouston,@ IND,5,2.0,1,0,0,0,0,27,199,104,303
New York GiantsNY Giants,vs MIN,5,1.0,1,0,1,0,0,28,201,111,312
Cincinnati BengalsCincinnati,vs NE,5,1.0,0,0,0,0,0,16,120,170,290
Los Angeles RamsLA Rams,@ DET,5,2.0,1,0,0,0,0,26,200,163,363
Baltimore RavensBaltimore,@ KC,5,2.0,1,0,0,0,0,27,281,72,353
Tennessee TitansTennessee,@ CHI,5,2.0,0,0,1,0,0,24,64,84,148
Philadelphia EaglesPhiladelphia,vs GB,4,2.0,1,0,0,0,0,29,251,163,414
New York JetsNY Jets,@ SF,3,3.0,0,0,0,0,0,32,221,180,401
Cleveland BrownsCleveland,vs DAL,3,3.0,0,0,0,0,0,33,163,102,265
Carolina PanthersCarolina,@ NO,3,1.0,0,0,1,0,0,47,199,180,379
Las Vegas RaidersLas Vegas,@ LAC,2,1.0,0,0,0,0,0,22,140,176,316
Washington CommandersWashington,@ TB,1,1.0,0,0,0,0,0,37,280,112,392
