Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Justin TuckerJ. Tucker,BAL@TEN,18.00,1,0,6,6,0
Harrison ButkerH. Butker,DEN@KC,17.00,1,1,4,4,2
Dustin HopkinsD. Hopkins,SF@CLE,15.00,1,1,5,4,1
Brandon McManusB. McManus,IND@JAX,15.00,4,4,3,3,1
Brett MaherB. Maher,ARI@LA,14.00,2,2,4,4,0
Daniel CarlsonD. Carlson,NE@LV,13.00,1,1,4,4,0
Greg ZuerleinG. Zuerlein,PHI@NYJ,12.00,0,0,4,4,0
Greg JosephG. Joseph,MIN@CHI,11.00,2,1,3,2,2
Matt PraterM. Prater,ARI@LA,11.00,0,0,3,3,1
Nick FolkN. Folk,BAL@TEN,10.00,1,1,3,3,0
Matt GayM. Gay,IND@JAX,10.00,2,2,2,2,1
Graham GanoG. Gano,NYG@BUF,9.00,0,0,3,3,0
Jason MyersJ. Myers,SEA@CIN,9.00,1,1,2,2,1
Cairo SantosC. Santos,MIN@CHI,9.00,1,1,2,2,1
Brandon AubreyB. Aubrey,DAL@LAC,8.00,2,2,2,2,0
Ka'imi FairbairnK. Fairbairn,NO@HOU,8.00,2,2,2,2,0
Riley PattersonR. Patterson,DET@TB,8.00,2,2,3,2,0
Blake GrupeB. Grupe,NO@HOU,7.00,1,1,4,2,0
Evan McPhersonE. McPherson,SEA@CIN,7.00,2,2,1,1,1
Chase McLaughlinC. McLaughlin,DET@TB,6.00,0,0,2,2,0
Jason SandersJ. Sanders,CAR@MIA,6.00,6,6,0,0,0
Joey SlyeJ. Slye,WAS@ATL,6.00,3,3,1,1,0
Cameron DickerC. Dicker,DAL@LAC,5.00,2,2,1,1,0
Jake MoodyJ. Moody,SF@CLE,5.00,2,2,3,1,0
Chad RylandC. Ryland,NE@LV,5.00,2,2,1,1,0
Younghoe KooY. Koo,WAS@ATL,4.00,1,1,1,1,0
Eddy PineiroE. Pineiro,CAR@MIA,3.00,3,3,1,0,0
Tyler BassT. Bass,NYG@BUF,2.00,2,2,2,0,0
Jake ElliottJ. Elliott,PHI@NYJ,2.00,2,2,1,0,0
