Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Nick FolkTENN. FolkTEN,@ MIA,23,2,2,5,5,3
Younghoe KooATLY. KooATL,vs NO,18,2,2,4,4,2
Greg JosephNYJG. JosephNYJ,@ NYG,17,0,0,5,5,1
Joshua KartyLAJ. KartyLA,@ CHI,14,0,0,5,4,1
Evan McPhersonCINE. McPhersonCIN,@ CAR,12,4,4,2,2,1
Jake MoodySFJ. MoodySF,vs NE,12,3,3,3,3,0
Chase McLaughlinTBC. McLaughlinTB,vs PHI,11,4,3,2,2,1
Joey SlyeNEJ. SlyeNE,@ SF,11,1,1,2,2,2
Brandon AubreyDALB. AubreyDAL,@ NYG,10,2,2,3,2,1
Daniel CarlsonLVD. CarlsonLV,vs CLE,10,2,2,2,2,1
Cam LittleJAXC. LittleJAX,@ HOU,10,2,2,2,2,1
Austin SeibertWASA. SeibertWAS,@ ARI,10,4,4,2,2,0
Matt GayINDM. GayIND,vs PIT,9,3,3,3,2,0
Greg ZuerleinNYJG. ZuerleinNYJ,vs DEN,9,0,0,4,3,0
Chris BoswellPITC. BoswellPIT,@ IND,8,3,3,1,1,1
Jason SandersMIAJ. SandersMIA,vs TEN,8,0,0,2,2,1
Will ReichardMINW. ReichardMIN,@ GB,7,4,4,1,1,0
Tyler BassBUFT. BassBUF,@ BAL,6,1,1,2,1,1
Jake BatesDETJ. BatesDET,vs SEA,6,6,6,0,0,0
Cameron DickerLACC. DickerLAC,vs KC,6,1,1,2,1,1
Ka'imi FairbairnHOUK. FairbairnHOU,vs JAX,6,3,3,1,1,0
Blake GrupeNOB. GrupeNO,@ ATL,6,3,3,1,1,0
Dustin HopkinsCLED. HopkinsCLE,@ LV,6,2,1,1,1,1
Eddy PineiroCARE. PineiroCAR,vs CIN,6,3,3,1,1,0
Cairo SantosCHIC. SantosCHI,vs LA,6,3,3,1,1,0
Harrison ButkerKCH. ButkerKC,@ LAC,5,2,2,2,1,0
Justin TuckerBALJ. TuckerBAL,vs BUF,5,5,5,0,0,0
Wil LutzDENW. LutzDEN,@ NYJ,4,1,1,2,1,0
Jason MyersSEAJ. MyersSEA,@ DET,3,3,3,1,0,0
Brayden NarvesonTENB. NarvesonTEN,@ GB,3,3,3,2,0,0
Jake ElliottPHIJ. ElliottPHI,@ TB,2,2,2,0,0,0
Matt PraterARIM. PraterARI,vs WAS,2,2,2,0,0,0
