Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chase McLaughlinTBC. McLaughlinTB,@ LAC,16,4,4,4,4,0
Brandon AubreyDALB. AubreyDAL,@ CAR,14,3,3,4,3,1
Tyler BassBUFT. BassBUF,@ DET,14,6,6,3,2,1
Will ReichardMINW. ReichardMIN,vs CHI,14,3,3,3,3,1
Cam LittleJAXC. LittleJAX,vs NYJ,13,1,1,4,4,0
Joshua KartyLAJ. KartyLA,@ SF,12,0,0,4,4,0
Brandon McManusGBB. McManusGB,@ SEA,12,3,3,3,3,0
Chad RylandARIC. RylandARI,vs NE,12,3,3,3,3,0
Jake ElliottPHIJ. ElliottPHI,vs PIT,9,3,3,2,2,0
Blake GrupeNOB. GrupeNO,vs WAS,9,1,1,2,2,1
Ka'imi FairbairnHOUK. FairbairnHOU,vs MIA,8,2,2,2,2,0
Greg JosephNYJG. JosephNYJ,@ NO,8,2,2,3,2,0
Jake MoodySFJ. MoodySF,vs LA,8,0,0,2,2,1
Jason SandersMIAJ. SandersMIA,@ HOU,8,1,0,2,2,1
Chris BoswellPITC. BoswellPIT,@ PHI,7,1,1,2,2,0
Matt GayINDM. GayIND,@ DEN,7,1,1,2,2,0
Younghoe KooATLY. KooATL,@ LV,7,1,1,3,2,0
Wil LutzDENW. LutzDEN,vs IND,7,4,4,1,1,0
Jason MyersSEAJ. MyersSEA,vs GB,7,1,1,2,2,0
Joey SlyeNEJ. SlyeNE,@ ARI,7,2,2,2,1,1
Cade YorkCINC. YorkCIN,@ TEN,7,5,4,1,1,0
Jake BatesDETJ. BatesDET,vs BUF,6,6,6,1,0,0
Anders CarlsonNYJA. CarlsonNYJ,@ JAX,6,3,3,2,1,0
Cairo SantosCHIC. SantosCHI,@ MIN,6,0,0,2,2,0
Daniel CarlsonLVD. CarlsonLV,vs ATL,5,1,0,1,1,1
Cameron DickerLACC. DickerLAC,vs TB,5,2,2,1,1,0
Justin TuckerBALJ. TuckerBAL,@ NYG,5,5,5,0,0,0
Harrison ButkerKCH. ButkerKC,@ CLE,3,3,3,1,0,0
Nick FolkTENN. FolkTEN,vs CIN,3,3,3,0,0,0
Graham GanoNYGG. GanoNYG,vs BAL,2,2,2,0,0,0
Eddy PineiroCARE. PineiroCAR,vs DAL,2,2,2,0,0,0
Riley PattersonATLR. PattersonATL,@ CLE,1,1,1,0,0,0
