Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Kansas City ChiefsKansas City,vs LV,27,4.0,1,0,4,0,1,9,246,44,290
Dallas CowboysDallas,@ WAS,25,5.0,1,0,3,1,1,20,124,100,224
Tennessee TitansTennessee,vs JAX,21,3.0,4,0,0,0,0,0,184,8,192
Washington Football TeamWashington,vs DAL,15,4.0,2,0,0,0,1,27,201,122,323
Cleveland BrownsCleveland,vs BAL,15,4.0,0,0,2,0,1,22,271,118,389
Atlanta FalconsAtlanta,@ CAR,14,1.0,2,0,1,0,1,21,243,91,334
Green Bay PackersGreen Bay,vs CHI,14,2.0,2,0,1,0,1,30,210,137,347
Denver BroncosDenver,vs DET,13,2.0,1,0,1,0,0,10,198,118,316
San Francisco 49ersSan Francisco,@ CIN,10,5.0,0,0,2,0,0,23,311,86,397
New Orleans SaintsNew Orleans,@ NYJ,10,3.0,0,0,0,0,0,9,178,78,256
Chicago BearsChicago,@ GB,9,3.0,0,0,0,0,1,45,320,119,439
Los Angeles RamsLA Rams,@ ARI,9,4.0,2,0,0,0,0,23,344,103,447
Seattle SeahawksSeattle,@ HOU,9,2.0,0,0,0,0,0,13,317,63,380
Jacksonville JaguarsJacksonville,@ TEN,8,4.0,0,0,0,0,0,20,161,102,263
Minnesota VikingsMinnesota,vs PIT,7,5.0,1,0,0,0,0,28,269,106,375
Los Angeles ChargersLA Chargers,vs NYG,7,2.0,1,0,1,0,0,21,181,135,316
Cincinnati BengalsCincinnati,vs SF,6,5.0,0,0,0,0,0,26,255,100,355
Tampa Bay BuccaneersTampa Bay,vs BUF,6,3.0,1,0,0,0,0,27,293,173,466
Pittsburgh SteelersPittsburgh,@ MIN,4,0.0,2,0,0,0,0,36,216,242,458
New York JetsNY Jets,vs NO,3,3.0,0,0,0,0,0,30,141,203,344
Las Vegas RaidersLas Vegas,@ KC,3,3.0,0,0,0,0,0,48,240,132,372
Baltimore RavensBaltimore,@ CLE,3,0.0,1,0,0,0,0,24,190,100,290
Arizona CardinalsArizona,vs LA,3,3.0,0,0,0,0,0,30,267,89,356
New York GiantsNY Giants,@ LAC,2,2.0,0,0,0,0,0,37,271,152,423
Buffalo BillsBuffalo,@ TB,2,2.0,0,0,0,0,0,33,351,137,488
Carolina PanthersCarolina,vs ATL,2,0.0,0,0,1,0,0,29,190,128,318
Detroit LionsDetroit,@ DEN,1,1.0,0,0,0,0,0,38,174,184,358
Houston TexansHouston,vs SEA,0,0.0,0,0,0,0,0,33,260,193,453
