Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jared GoffJ. Goff,SEA@DET,41.00,39,26,378,4,1,1,1,1,0,1,0,0,0,0,0,0
Geno SmithG. Smith,SEA@DET,34.00,30,23,320,2,0,0,7,49,1,0,0,0,0,0,0,0
Tom BradyT. Brady,KC@TB,32.00,52,39,385,3,0,0,0,0,0,0,0,0,0,0,1,0
T.J. HockensonT. Hockenson,SEA@DET,31.00,0,0,0,0,0,0,0,0,0,0,8,179,2,1,0,0
Josh JacobsJ. Jacobs,DEN@LV,29.00,0,0,0,0,0,0,28,144,2,0,5,31,0,0,0,0
Russell WilsonR. Wilson,DEN@LV,29.00,25,17,237,2,0,0,4,29,1,0,1,1,0,0,0,0
Austin EkelerA. Ekeler,LAC@HOU,28.00,0,0,0,0,0,0,13,60,2,0,6,49,1,0,0,0
Patrick MahomesP. Mahomes,KC@TB,28.00,37,23,249,3,1,0,4,34,0,0,0,0,0,0,0,0
Rashaad PennyR. Penny,SEA@DET,27.00,0,0,0,0,0,0,17,151,2,0,1,6,0,0,0,0
Miles SandersM. Sanders,JAX@PHI,27.00,0,0,0,0,0,0,27,134,2,0,2,22,0,0,0,0
Kyler MurrayK. Murray,ARI@CAR,26.00,32,23,207,2,1,0,12,26,1,0,0,0,0,0,0,0
Josh AllenJ. Allen,BUF@BAL,25.00,36,19,213,1,1,0,11,70,1,0,0,0,0,0,0,0
Justin HerbertJ. Herbert,LAC@HOU,25.00,39,27,340,2,0,0,4,-5,0,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,MIA@CIN,23.00,31,20,287,2,0,0,5,6,0,0,0,0,0,0,0,0
Matt RyanM. Ryan,TEN@IND,23.00,37,27,356,2,1,0,2,-4,0,0,0,0,0,0,1,0
Mike EvansM. Evans,KC@TB,22.00,0,0,0,0,0,0,0,0,0,0,8,103,2,0,0,0
Jamaal WilliamsJ. Williams,SEA@DET,22.00,0,0,0,0,0,0,19,108,2,0,1,1,0,0,0,0
Clyde Edwards-HelaireC. Edwards-Helaire,KC@TB,21.00,0,0,0,0,0,0,19,92,1,0,1,2,1,0,0,0
