Player,Pos,Team,College
"Bolton, Curtis",LB,Miami,Oklahoma
"Bolton, Nick",LB,Kansas City,Missouri
"Bonitto, Nik",LB,Denver,Oklahoma
"Bonner, Ethan",DB,Miami,Stanford
"Book, Ian",QB,Kansas City,Notre Dame
"Booker, Austin",DE,Chicago,Kansas
"Booker, Thomas",DT,Philadelphia,Stanford
"Boone, Mike",RB,Carolina,Cincinnati
"Booth, Andrew",DB,Minnesota,Clemson
"Bootle, Dicaprio",DB,Carolina,Nebraska
"Borders, Breon",DB,NY Giants,Duke
"Borom, Larry",OT,Chicago,Missouri
"Bortolini, Tanor",C,Indianapolis,Wisconsin
"Bosa, Joey",LB,LA Chargers,Ohio State
"Bosa, Nick",DE,San Francisco,Ohio State
"Bostick, Earl",OT,Dallas,Kansas
"Boswell, Chris",K,Pittsburgh,Rice
"Bothroyd, Rondell",DE,Buffalo,Oklahoma
"Bourne, Kendrick",WR,New England,Eastern Washington
"Boutte, Kayshon",WR,New England,Louisiana State
"Bowers, Brock",TE,Las Vegas,Georgia
"Bowman, Shawn",TE,Jacksonville,Rutgers
"Boyd, Khristian",DT,New Orleans,Northern Iowa
"Boyd, Kris",DB,Houston,Texas
"Boyd, Tyler",WR,Tennessee,Pittsburgh
"Boye-Doe, Ekow",DB,Kansas City,Kansas State
"Boykin, Lance",DB,Seattle,Coastal Carolina
"Boykin, Miles",WR,NY Giants,Notre Dame
"Boyle, Tim",QB,Houston,Eastern Kentucky
"Bozeman, Bradley",C,LA Chargers,Alabama
"Bozeman, Swayze",LB,Kansas City,Southern Mississippi
"Bradberry, James",DB,Philadelphia,Samford
"Bradbury, Garrett",C,Minnesota,North Carolina State
"Brade, Beau",DB,Baltimore,Maryland
"Bradford, Anthony",OG,Seattle,Louisiana State
"Bradford, Nook",DB,New Orleans,Texas Christian
"Bradley, Carter",QB,Las Vegas,South Alabama
"Bradley-King, William",DE,New England,Baylor
"Branch, Brian",DB,Detroit,Alabama
"Brandel, Blake",OG,Minnesota,Oregon State
"Braswell, Chris",LB,Tampa Bay,Alabama
"Braswell, Christian",DB,Jacksonville,Rutgers
"Bredeson, Ben",OG,Tampa Bay,Michigan
"Breeze, Brady",DB,Cleveland,Oregon
"Brendel, Jake",C,San Francisco,UCLA
"Brents, Julius",DB,Indianapolis,Kansas State
"Bresee, Bryan",DT,New Orleans,Clemson
"Brewer, Aaron",LS,Arizona,San Diego State
"Brewer, Aaron",OG,Miami,Texas State
"Brewer, C.J.",DT,Tampa Bay,Coastal Carolina
"Brewer, Chandler",OT,New Orleans,Middle Tennessee State
"Briggs, Jowon",DT,Cleveland,Cincinnati
"Brisker, Jaquan",DB,Chicago,Penn State
"Brissett, Jacoby",QB,New England,North Carolina State
"Britt, K.J.",LB,Tampa Bay,Auburn
"Britton, Gunner",OG,Buffalo,Auburn
