Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Brandon AubreyB. Aubrey,SEA@DAL,15.00,3,3,4,4,0
Matt GayM. Gay,IND@TEN,13.00,1,1,4,4,0
Evan McPhersonE. McPherson,CIN@JAX,12.00,4,4,3,2,1
Matt AmmendolaM. Ammendola,DEN@HOU,10.00,1,1,3,3,0
Lucas HavrisikL. Havrisik,CLE@LA,10.00,4,4,3,2,0
Anders CarlsonA. Carlson,KC@GB,9.00,3,3,2,2,0
Riley PattersonR. Patterson,DET@NO,9.00,3,3,2,2,0
Jason SandersJ. Sanders,MIA@WAS,9.00,6,6,1,1,0
Nick FolkN. Folk,IND@TEN,8.00,3,2,2,2,0
Matt PraterM. Prater,ARI@PIT,8.00,3,3,1,1,1
Harrison ButkerH. Butker,KC@GB,7.00,1,1,2,2,0
Jake ElliottJ. Elliott,SF@PHI,7.00,1,1,2,2,0
Dustin HopkinsD. Hopkins,CLE@LA,7.00,2,1,2,2,0
Younghoe KooY. Koo,ATL@NYJ,7.00,1,1,2,2,0
Brandon McManusB. McManus,CIN@JAX,7.00,4,4,2,1,0
Cameron DickerC. Dicker,LAC@NE,6.00,0,0,2,2,0
Jake MoodyJ. Moody,SF@PHI,6.00,6,6,0,0,0
Greg ZuerleinG. Zuerlein,ATL@NYJ,6.00,0,0,2,2,0
Wil LutzW. Lutz,DEN@HOU,5.00,2,2,1,1,0
Jason MyersJ. Myers,SEA@DAL,5.00,5,5,1,0,0
Chris BoswellC. Boswell,ARI@PIT,4.00,1,1,2,1,0
Blake GrupeB. Grupe,DET@NO,4.00,4,4,0,0,0
Eddy PineiroE. Pineiro,CAR@TB,4.00,1,1,1,1,0
Chase McLaughlinC. McLaughlin,CAR@TB,3.00,3,3,0,0,0
Joey SlyeJ. Slye,MIA@WAS,1.00,1,1,1,0,0
