Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Brandon McManusB. McManus,JAX@PIT,16.00,0,0,4,4,2
Riley PattersonR. Patterson,LV@DET,16.00,2,2,5,4,1
Cameron DickerC. Dicker,CHI@LAC,14.00,3,3,3,3,1
Brandon AubreyB. Aubrey,LA@DAL,13.00,5,5,2,2,1
Harrison ButkerH. Butker,KC@DEN,11.00,0,0,3,3,1
Younghoe KooY. Koo,ATL@TEN,11.00,2,2,3,3,0
Jake ElliottJ. Elliott,PHI@WAS,10.00,5,5,1,1,1
Matt GayM. Gay,NO@IND,9.00,3,3,2,2,0
Evan McPhersonE. McPherson,CIN@SF,9.00,4,4,2,1,1
Eddy PineiroE. Pineiro,HOU@CAR,9.00,1,0,3,3,0
Joey SlyeJ. Slye,PHI@WAS,9.00,4,4,1,1,1
Blake GrupeB. Grupe,NO@IND,8.00,5,5,1,1,0
Dustin HopkinsD. Hopkins,CLE@SEA,8.00,2,2,2,2,0
Jason SandersJ. Sanders,NE@MIA,7.00,4,4,1,1,0
Justin TuckerJ. Tucker,BAL@ARI,7.00,4,4,2,1,0
Greg ZuerleinG. Zuerlein,NYJ@NYG,7.00,1,1,2,2,0
Tyler BassT. Bass,TB@BUF,6.00,3,3,1,1,0
Lucas HavrisikL. Havrisik,LA@DAL,6.00,0,0,2,2,0
Greg JosephG. Joseph,MIN@GB,6.00,3,3,3,1,0
Wil LutzW. Lutz,KC@DEN,6.00,3,3,2,1,0
Chase McLaughlinC. McLaughlin,TB@BUF,6.00,1,1,2,1,1
Jason MyersJ. Myers,CLE@SEA,6.00,3,3,1,1,0
Jake MoodyJ. Moody,CIN@SF,5.00,2,2,1,1,0
Chad RylandC. Ryland,NE@MIA,5.00,2,2,1,1,0
Chris BoswellC. Boswell,JAX@PIT,4.00,1,1,2,1,0
Anders CarlsonA. Carlson,MIN@GB,4.00,1,1,1,1,0
Nick FolkN. Folk,ATL@TEN,4.00,4,4,0,0,0
Graham GanoG. Gano,NYJ@NYG,4.00,1,1,3,1,0
Matt PraterM. Prater,BAL@ARI,4.00,1,1,1,1,0
Daniel CarlsonD. Carlson,LV@DET,2.00,2,2,0,0,0
Ka'imi FairbairnK. Fairbairn,HOU@CAR,1.00,1,1,0,0,0
Cairo SantosC. Santos,CHI@LAC,1.00,1,1,0,0,0
