Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Brandon McManusDENB. McManusDEN,@ NE,22,0,0,6,6,2
Younghoe KooATLY. KooATL,@ MIN,18,4,4,4,4,1
Justin TuckerBALJ. TuckerBAL,@ PHI,14,3,3,3,3,1
Cairo SantosCHIC. SantosCHI,@ CAR,13,2,2,3,3,1
Randy BullockCINR. BullockCIN,@ IND,11,3,3,3,2,1
Matt PraterDETM. PraterDET,@ JAX,10,4,4,3,2,0
Joey SlyeCARJ. SlyeCAR,vs CHI,10,1,1,4,3,0
Ryan SuccopTBR. SuccopTB,vs GB,10,5,5,1,1,1
Chris BoswellPITC. BoswellPIT,vs CLE,8,5,5,1,1,0
Harrison ButkerKCH. ButkerKC,@ BUF,8,3,2,2,2,0
Graham GanoNYGG. GanoNYG,vs WAS,8,2,2,2,2,0
Zane GonzalezARIZ. GonzalezARI,@ DAL,8,5,5,1,1,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs CIN,7,4,4,1,1,0
Dustin HopkinsWASD. HopkinsWAS,@ NYG,7,1,1,3,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ TEN,6,4,3,1,1,0
Nick FolkNEN. FolkNE,vs DEN,6,0,0,2,2,0
Robbie GouldSFR. GouldSF,vs LA,6,3,3,1,1,0
Jason SandersMIAJ. SandersMIA,vs NYJ,6,3,3,1,1,0
Tyler BassBUFT. BassBUF,vs KC,5,2,2,2,1,0
Jonathan BrownJAXJ. BrownJAX,vs DET,4,1,1,2,1,0
Mason CrosbyGBM. CrosbyGB,@ TB,4,1,1,1,1,0
Stephen GostkowskiTENS. GostkowskiTEN,vs HOU,4,4,4,2,0,0
Samuel SlomanTENS. SlomanTEN,@ SF,4,2,1,1,1,0
Greg ZuerleinDALG. ZuerleinDAL,vs ARI,4,1,1,2,1,0
Dan BaileyMIND. BaileyMIN,vs ATL,1,1,1,0,0,0
Cody ParkeyCLEC. ParkeyCLE,@ PIT,1,1,1,0,0,0
Jake ElliottPHIJ. ElliottPHI,vs BAL,0,0,0,1,0,0
Sam FickenNYJS. FickenNYJ,@ MIA,0,0,0,1,0,0
