Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Tyler BassBUFT. BassBUF,vs HOU,16,4,4,4,4,0
Matt PraterARIM. PraterARI,@ LA,15,4,4,3,3,1
Ryan SuccopTBR. SuccopTB,@ NE,13,1,1,5,4,0
Jake ElliottPHIJ. ElliottPHI,vs KC,12,3,3,3,3,0
Justin TuckerBALJ. TuckerBAL,@ DEN,11,2,2,3,3,0
Randy BullockTENR. BullockTEN,@ NYJ,10,1,1,4,3,0
Matt AmmendolaNYJM. AmmendolaNYJ,vs TEN,9,3,3,2,2,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ MIA,9,3,3,2,2,0
Mason CrosbyGBM. CrosbyGB,vs PIT,9,3,3,2,2,0
Matt GayLAM. GayLA,vs ARI,8,2,2,3,2,0
Chase McLaughlinCLEC. McLaughlinCLE,@ MIN,8,0,0,2,2,1
Chris BoswellPITC. BoswellPIT,@ GB,7,2,2,1,1,1
Graham GanoNYGG. GanoNYG,@ NO,7,1,1,3,2,0
Harrison ButkerKCH. ButkerKC,@ PHI,6,6,6,0,0,0
Younghoe KooATLY. KooATL,vs WAS,6,3,3,1,1,0
Evan McPhersonCINE. McPhersonCIN,vs JAX,6,3,3,2,1,0
Cairo SantosCHIC. SantosCHI,vs DET,6,3,3,1,1,0
Greg ZuerleinDALG. ZuerleinDAL,vs CAR,6,3,3,1,1,0
Nick FolkNEN. FolkNE,vs TB,5,2,2,2,1,0
Jason SandersMIAJ. SandersMIA,vs IND,5,2,2,1,1,0
Zane GonzalezCARZ. GonzalezCAR,@ DAL,4,4,4,1,0,0
Dustin HopkinsLACD. HopkinsLAC,@ ATL,4,3,1,1,1,0
Jason MyersSEAJ. MyersSEA,@ SF,4,4,4,0,0,0
Tristan VizcainoLACT. VizcainoLAC,vs LV,4,4,4,0,0,0
Aldrick RosasDETA. RosasDET,@ NO,3,3,3,1,0,0
Matthew WrightJAXM. WrightJAX,@ CIN,3,3,3,0,0,0
Daniel CarlsonLVD. CarlsonLV,@ LAC,2,2,2,1,0,0
Ryan SantosoLAR. SantosoLA,@ CHI,2,2,2,0,0,0
Greg JosephMING. JosephMIN,vs CLE,1,1,1,0,0,0
Brandon McManusDENB. McManusDEN,vs BAL,1,1,1,0,0,0
