Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Matt PraterM. Prater,ARI@ATL,15.00,1,1,5,4,1
Mason CrosbyM. Crosby,MIN@GB,13.00,5,5,2,2,1
Robbie GouldR. Gould,SF@LV,13.00,4,4,4,3,0
Chris BoswellC. Boswell,PIT@BAL,12.00,1,1,4,3,1
Daniel CarlsonD. Carlson,SF@LV,12.00,4,4,2,2,1
Michael BadgleyM. Badgley,CHI@DET,11.00,5,5,2,2,0
Jason MyersJ. Myers,NYJ@SEA,11.00,2,2,4,3,0
Wil LutzW. Lutz,NO@PHI,10.00,2,2,2,2,1
Brett MaherB. Maher,DAL@TEN,9.00,3,3,2,2,0
Riley PattersonR. Patterson,JAX@HOU,9.00,4,4,1,1,1
Justin TuckerJ. Tucker,PIT@BAL,9.00,1,1,2,2,1
Graham GanoG. Gano,IND@NYG,8.00,5,5,1,1,0
Younghoe KooY. Koo,ARI@ATL,8.00,2,2,2,2,0
Randy BullockR. Bullock,DAL@TEN,7.00,1,1,2,2,0
Cameron DickerC. Dicker,LA@LAC,7.00,4,4,1,1,0
Jake ElliottJ. Elliott,NO@PHI,6.00,1,1,1,1,1
Brandon McManusB. McManus,DEN@KC,6.00,3,3,1,1,0
Eddy PineiroE. Pineiro,CAR@TB,6.00,3,3,1,1,0
Cade YorkC. York,CLE@WAS,6.00,3,3,1,1,0
Greg ZuerleinG. Zuerlein,NYJ@SEA,6.00,0,0,3,2,0
Ka'imi FairbairnK. Fairbairn,JAX@HOU,5.00,0,0,1,1,1
Nick FolkN. Folk,MIA@NE,5.00,3,2,1,1,0
Greg JosephG. Joseph,MIN@GB,5.00,2,2,3,1,0
Matt GayM. Gay,LA@LAC,4.00,1,1,1,1,0
Chase McLaughlinC. McLaughlin,IND@NYG,4.00,1,1,2,1,0
Cairo SantosC. Santos,CHI@DET,4.00,1,1,1,1,0
Joey SlyeJ. Slye,CLE@WAS,4.00,1,1,1,1,0
Ryan SuccopR. Succop,CAR@TB,4.00,2,1,3,1,0
Harrison ButkerH. Butker,DEN@KC,3.00,3,3,1,0,0
Jason SandersJ. Sanders,MIA@NE,3.00,3,3,1,0,0
