Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Denver BroncosDenver,@ NO,23,6.0,0,0,2,0,1,10,174,97,271
Los Angeles RamsLA Rams,vs LV,20,2.0,3,0,1,0,1,15,195,122,317
Washington CommandersWashington,vs CAR,19,2.0,2,0,0,0,1,7,85,95,180
Seattle SeahawksSeattle,@ ATL,19,3.0,2,0,1,0,1,14,214,155,369
Cincinnati BengalsCincinnati,@ CLE,18,4.0,2,0,0,0,1,14,259,77,336
Philadelphia EaglesPhiladelphia,@ NYG,18,8.0,0,0,0,0,0,3,43,76,119
Buffalo BillsBuffalo,vs TEN,14,3.0,1,0,1,0,0,10,200,89,289
Indianapolis ColtsIndianapolis,vs MIA,13,2.0,0,0,2,0,0,10,149,188,337
Minnesota VikingsMinnesota,vs DET,12,4.0,0,0,1,0,1,31,247,144,391
Jacksonville JaguarsJacksonville,vs NE,12,2.0,0,0,0,0,1,16,257,38,295
Kansas City ChiefsKansas City,@ SF,11,1.0,3,0,0,0,0,18,209,101,310
Arizona CardinalsArizona,vs LAC,11,3.0,0,0,2,0,0,15,336,59,395
Pittsburgh SteelersPittsburgh,vs NYJ,11,1.0,2,0,0,1,0,15,269,54,323
Houston TexansHouston,@ GB,10,3.0,2,0,1,0,0,24,195,82,277
Baltimore RavensBaltimore,@ TB,7,3.0,2,0,0,0,0,31,356,125,481
Las Vegas RaidersLas Vegas,@ LA,7,1.0,1,0,0,0,0,20,144,115,259
Detroit LionsDetroit,@ MIN,6,4.0,1,0,0,0,0,29,244,139,383
Miami DolphinsMiami,@ IND,6,0.0,0,0,1,0,0,16,129,155,284
San Francisco 49ersSan Francisco,vs KC,6,2.0,2,0,0,0,0,28,145,184,329
Los Angeles ChargersLA Chargers,@ ARI,6,0.0,1,0,0,0,0,17,145,181,326
Green Bay PackersGreen Bay,vs HOU,5,4.0,0,0,0,0,0,22,55,142,197
New York GiantsNY Giants,vs PHI,5,5.0,0,0,0,0,0,28,70,269,339
Cleveland BrownsCleveland,vs CIN,4,3.0,0,0,0,0,0,21,164,59,223
Tampa Bay BuccaneersTampa Bay,vs BAL,4,2.0,0,0,1,0,0,41,264,244,508
New Orleans SaintsNew Orleans,vs DEN,2,0.0,0,0,1,0,0,33,164,225,389
New York JetsNY Jets,@ PIT,1,1.0,0,0,0,0,0,37,260,149,409
Carolina PanthersCarolina,@ WAS,1,1.0,0,0,0,0,0,40,207,214,421
Tennessee TitansTennessee,@ BUF,1,1.0,0,0,0,0,0,34,315,74,389
Atlanta FalconsAtlanta,vs SEA,1,1.0,0,0,0,0,0,34,236,103,339
New England PatriotsNew England,@ JAX,0,0.0,0,0,0,0,0,32,193,171,364
