Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Washington Football TeamWashington,vs PHI,18,8.0,2,0,1,0,0,17,208,57,265
New Orleans SaintsNew Orleans,vs TB,18,3.0,2,0,1,1,1,23,224,86,310
Baltimore RavensBaltimore,vs CLE,18,2.0,1,0,2,0,0,6,168,138,306
New England PatriotsNew England,vs MIA,14,1.0,3,0,0,0,0,11,182,87,269
Los Angeles ChargersLA Chargers,@ CIN,14,3.0,1,0,1,0,0,13,173,122,295
Buffalo BillsBuffalo,vs NYJ,11,3.0,1,0,1,0,0,17,202,52,254
Pittsburgh SteelersPittsburgh,@ NYG,11,3.0,2,0,0,0,0,16,262,29,291
Kansas City ChiefsKansas City,vs HOU,10,4.0,1,0,0,0,0,20,242,118,360
Arizona CardinalsArizona,@ SF,9,3.0,0,0,0,1,0,20,243,123,366
Jacksonville JaguarsJacksonville,vs IND,9,1.0,2,0,0,0,0,20,357,88,445
New York JetsNY Jets,@ BUF,8,3.0,0,0,2,0,0,27,306,98,404
Los Angeles RamsLA Rams,vs DAL,7,3.0,0,0,0,0,0,17,244,136,380
Seattle SeahawksSeattle,@ ATL,7,2.0,1,0,1,0,0,25,434,72,506
Dallas CowboysDallas,@ LA,7,1.0,1,0,0,0,0,20,269,153,422
Denver BroncosDenver,vs TEN,7,1.0,0,0,0,1,0,16,247,130,377
Green Bay PackersGreen Bay,@ MIN,6,2.0,1,1,0,0,0,34,248,134,382
Cincinnati BengalsCincinnati,vs LAC,6,2.0,0,0,0,0,0,16,207,155,362
Tennessee TitansTennessee,@ DEN,6,0.0,0,0,1,0,0,14,216,107,323
San Francisco 49ersSan Francisco,vs ARI,5,2.0,1,0,0,0,0,24,224,180,404
Miami DolphinsMiami,@ NE,5,2.0,0,0,1,0,0,21,140,217,357
New York GiantsNY Giants,vs PIT,5,2.0,0,0,1,0,0,26,208,141,349
Indianapolis ColtsIndianapolis,@ JAX,5,4.0,0,0,0,0,0,27,150,91,241
Philadelphia EaglesPhiladelphia,@ WAS,4,3.0,0,0,0,0,0,27,159,80,239
Cleveland BrownsCleveland,@ BAL,4,2.0,0,0,1,0,0,38,270,111,381
Chicago BearsChicago,@ DET,4,1.0,1,0,0,0,0,23,288,138,426
Atlanta FalconsAtlanta,vs SEA,3,3.0,0,0,0,0,0,38,299,84,383
Detroit LionsDetroit,vs CHI,2,1.0,0,0,0,0,0,27,214,149,363
Las Vegas RaidersLas Vegas,@ CAR,1,1.0,0,0,0,0,0,30,259,129,388
Houston TexansHouston,@ KC,1,1.0,0,0,0,0,0,34,203,166,369
Tampa Bay BuccaneersTampa Bay,@ NO,1,1.0,0,0,0,0,0,34,189,82,271
Minnesota VikingsMinnesota,vs GB,0,0.0,0,0,0,0,0,43,364,158,522
Carolina PanthersCarolina,vs LV,0,0.0,0,0,0,0,0,34,239,133,372
