Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Los Angeles RamsLA Rams,vs ARI,23,4.0,1,1,0,1,1,7,166,48,214
Buffalo BillsBuffalo,vs MIA,22,1.0,3,0,1,0,2,26,384,70,454
New Orleans SaintsNew Orleans,@ CAR,20,3.0,5,0,0,0,0,7,246,74,320
Baltimore RavensBaltimore,@ CIN,14,0.0,2,0,0,0,0,3,48,147,195
Washington Football TeamWashington,@ PHI,13,3.0,2,0,1,0,0,14,98,118,216
Indianapolis ColtsIndianapolis,vs JAX,12,6.0,0,0,1,0,0,14,230,53,283
New York GiantsNY Giants,vs DAL,12,6.0,1,0,0,0,0,19,199,108,307
Denver BroncosDenver,vs LV,11,3.0,2,0,2,0,0,32,359,106,465
Philadelphia EaglesPhiladelphia,vs WAS,11,3.0,2,0,0,0,0,20,145,103,248
New England PatriotsNew England,vs NYJ,11,3.0,2,0,0,0,0,14,239,111,350
Arizona CardinalsArizona,@ LA,10,2.0,1,0,1,0,0,18,223,110,333
Green Bay PackersGreen Bay,@ CHI,9,1.0,1,0,1,0,0,16,248,108,356
Dallas CowboysDallas,@ NYG,7,2.0,1,0,1,0,0,23,211,125,336
Tampa Bay BuccaneersTampa Bay,vs ATL,6,1.0,0,0,2,0,0,27,258,127,385
Tennessee TitansTennessee,@ HOU,6,4.0,1,0,0,0,0,38,361,96,457
Seattle SeahawksSeattle,@ SF,6,3.0,0,0,1,0,0,23,242,86,328
Los Angeles ChargersLA Chargers,@ KC,6,1.0,0,1,1,0,0,21,217,51,268
Las Vegas RaidersLas Vegas,@ DEN,6,2.0,0,0,0,2,0,31,324,122,446
Pittsburgh SteelersPittsburgh,@ CLE,5,4.0,0,0,0,0,0,24,166,192,358
Miami DolphinsMiami,@ BUF,5,1.0,2,0,0,0,0,56,377,78,455
Minnesota VikingsMinnesota,@ DET,5,1.0,1,0,1,0,0,35,288,129,417
Houston TexansHouston,vs TEN,4,2.0,0,0,1,0,0,41,204,288,492
Cleveland BrownsCleveland,vs PIT,4,1.0,1,0,0,0,0,22,309,85,394
New York JetsNY Jets,@ NE,3,3.0,0,0,0,0,0,28,238,166,404
Kansas City ChiefsKansas City,vs LAC,3,3.0,0,0,0,0,0,38,281,135,416
Detroit LionsDetroit,vs MIN,3,3.0,0,0,0,0,0,37,383,125,508
San Francisco 49ersSan Francisco,vs SEA,3,2.0,0,0,0,0,0,26,159,121,280
Chicago BearsChicago,vs GB,3,1.0,0,0,1,0,0,35,237,79,316
Atlanta FalconsAtlanta,@ TB,3,1.0,1,0,0,0,0,44,391,94,485
Jacksonville JaguarsJacksonville,@ IND,2,0.0,1,0,0,0,0,28,164,273,437
Cincinnati BengalsCincinnati,vs BAL,2,0.0,1,0,0,0,0,38,121,404,525
Carolina PanthersCarolina,vs NO,2,2.0,0,0,0,0,0,33,191,156,347
