Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Stephen GostkowskiTENS. GostkowskiTEN,@ MIN,25,1,1,6,6,3
Mason CrosbyGBM. CrosbyGB,@ NO,15,4,4,3,3,1
Joey SlyeCARJ. SlyeCAR,@ LAC,15,1,0,5,5,0
Robbie GouldSFR. GouldSF,@ NYG,14,3,3,4,3,1
Matt PraterDETM. PraterDET,@ ARI,14,2,2,4,4,0
Jake ElliottPHIJ. ElliottPHI,vs CIN,13,2,2,3,3,1
Nick FolkNEN. FolkNE,vs LV,12,4,3,3,3,0
Wil LutzNOW. LutzNO,vs GB,12,3,3,3,3,0
Randy BullockCINR. BullockCIN,@ PHI,11,2,2,3,3,0
Graham GanoNYGG. GanoNYG,vs SF,11,0,0,3,3,1
Rodrigo BlankenshipINDR. BlankenshipIND,vs NYJ,10,4,4,3,2,0
Cody ParkeyCLEC. ParkeyCLE,vs WAS,10,4,4,2,2,0
Chris BoswellPITC. BoswellPIT,vs HOU,8,2,2,2,2,0
Daniel CarlsonLVD. CarlsonLV,@ NE,8,2,2,3,2,0
Younghoe KooATLY. KooATL,vs CHI,8,3,2,3,2,0
Ryan SuccopTBR. SuccopTB,@ DEN,8,3,2,2,2,0
Justin TuckerBALJ. TuckerBAL,vs KC,8,2,2,2,2,0
Zane GonzalezARIZ. GonzalezARI,vs DET,7,3,2,1,1,1
Jason SandersMIAJ. SandersMIA,@ JAX,7,4,4,1,1,0
Greg ZuerleinDALG. ZuerleinDAL,@ SEA,7,3,1,2,2,0
Dan BaileyMIND. BaileyMIN,vs TEN,6,3,3,2,1,0
Brandon McManusDENB. McManusDEN,vs TB,6,1,1,1,1,1
Cairo SantosCHIC. SantosCHI,@ ATL,6,3,3,2,1,0
Samuel SlomanTENS. SlomanTEN,@ BUF,6,3,3,2,1,0
Tyler BassBUFT. BassBUF,vs LA,5,5,5,0,0,0
Michael BadgleyLACM. BadgleyLAC,vs CAR,4,1,1,1,1,0
Harrison ButkerKCH. ButkerKC,@ BAL,4,5,4,1,0,0
Jason MyersSEAJ. MyersSEA,vs DAL,4,4,4,0,0,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ PIT,3,3,3,0,0,0
Dustin HopkinsWASD. HopkinsWAS,@ CLE,2,3,2,0,0,0
Sam FickenNYJS. FickenNYJ,@ IND,1,1,1,0,0,0
