Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Houston TexansHOU,TEN@HOU,24.00,6.0,0,0,1,0,1,3,134,53,187
Buffalo BillsBUF,NE@BUF,18.00,3.0,3,0,1,0,1,21,191,103,294
Cleveland BrownsCLE,NYJ@CLE,18.00,2.0,1,0,1,1,1,20,253,107,360
Jacksonville JaguarsJAX,CAR@JAX,18.00,6.0,1,0,0,0,0,0,67,57,124
New York GiantsNYG,LA@NYG,17.00,4.0,2,0,1,0,1,26,286,105,391
New Orleans SaintsNO,NO@TB,17.00,2.0,2,0,2,0,0,13,292,57,349
Green Bay PackersGB,GB@MIN,15.00,4.0,1,0,1,0,0,10,144,67,211
Chicago BearsCHI,ATL@CHI,14.00,2.0,4,0,0,0,0,17,173,134,307
New York JetsNYJ,NYJ@CLE,13.00,1.0,1,0,2,0,1,37,301,127,428
Baltimore RavensBAL,MIA@BAL,13.00,3.0,2,0,1,0,0,19,221,154,375
Denver BroncosDEN,LAC@DEN,12.00,1.0,0,0,1,1,0,9,215,86,301
San Francisco 49ersSF,SF@WAS,12.00,1.0,2,0,0,0,0,10,163,62,225
Detroit LionsDET,DET@DAL,11.00,3.0,1,0,1,0,0,20,323,61,384
New England PatriotsNE,NE@BUF,10.00,1.0,1,0,0,0,1,27,154,127,281
Kansas City ChiefsKC,CIN@KC,10.00,6.0,0,0,0,0,0,17,159,104,263
Philadelphia EaglesPHI,ARI@PHI,9.00,1.0,1,0,0,0,1,35,228,221,449
Dallas CowboysDAL,DET@DAL,9.00,1.0,2,0,0,0,0,19,295,125,420
Los Angeles RamsLA,LA@NYG,9.00,6.0,1,0,0,0,0,25,284,105,389
Indianapolis ColtsIND,LV@IND,6.00,2.0,0,0,0,0,0,20,286,84,370
Los Angeles ChargersLAC,LAC@DEN,6.00,2.0,0,0,0,0,0,16,212,101,313
Cincinnati BengalsCIN,CIN@KC,5.00,2.0,0,0,1,0,0,25,241,132,373
Carolina PanthersCAR,CAR@JAX,4.00,3.0,0,0,0,0,0,26,162,155,317
Pittsburgh SteelersPIT,PIT@SEA,4.00,1.0,0,0,1,0,0,23,281,88,369
Atlanta FalconsATL,ATL@CHI,3.00,3.0,0,0,0,0,0,37,240,192,432
Miami DolphinsMIA,MIA@BAL,3.00,1.0,0,0,1,0,0,56,331,160,491
Las Vegas RaidersLV,LV@IND,2.00,1.0,0,0,0,0,0,23,215,134,349
Minnesota VikingsMIN,GB@MIN,2.00,0.0,0,0,1,0,0,33,293,177,470
Arizona CardinalsARI,ARI@PHI,2.00,0.0,1,0,0,0,0,31,184,91,275
Tampa Bay BuccaneersTB,NO@TB,2.00,1.0,0,0,0,0,0,23,202,108,310
Tennessee TitansTEN,TEN@HOU,2.00,1.0,0,0,0,0,0,26,201,111,312
Washington CommandersWAS,SF@WAS,2.00,1.0,0,0,0,0,0,27,224,184,408
Seattle SeahawksSEA,PIT@SEA,1.00,1.0,0,0,0,0,0,30,266,202,468
