Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Los Angeles ChargersLA Chargers,@ ATL,22,1.0,4,0,0,0,1,13,234,116,350
Denver BroncosDenver,vs CLE,21,3.0,3,0,0,0,2,32,475,77,552
Dallas CowboysDallas,vs NYG,20,6.0,1,0,1,0,1,20,131,116,247
Pittsburgh SteelersPittsburgh,@ CIN,16,4.0,1,0,2,0,1,38,282,93,375
New York JetsNY Jets,vs SEA,16,3.0,0,0,2,1,1,26,175,84,259
Seattle SeahawksSeattle,@ NYJ,15,2.0,1,0,1,1,1,21,169,89,258
Buffalo BillsBuffalo,vs SF,15,2.0,0,0,3,0,0,10,86,153,239
Cincinnati BengalsCincinnati,vs PIT,12,2.0,1,0,0,1,1,44,410,110,520
Atlanta FalconsAtlanta,vs LAC,11,5.0,0,0,1,0,0,17,131,56,187
Green Bay PackersGreen Bay,vs MIA,11,5.0,0,0,1,0,0,17,336,39,375
Washington CommandersWashington,vs TEN,10,2.0,0,0,2,0,0,19,210,35,245
Detroit LionsDetroit,vs CHI,9,5.0,0,0,0,0,0,20,223,78,301
Kansas City ChiefsKansas City,vs LV,9,3.0,0,0,1,0,0,17,318,116,434
Carolina PanthersCarolina,vs TB,9,4.0,2,0,0,0,0,26,209,236,445
Las Vegas RaidersLas Vegas,@ KC,9,5.0,0,0,0,0,0,19,266,63,329
Arizona CardinalsArizona,@ MIN,8,5.0,0,0,1,0,0,23,205,68,273
Indianapolis ColtsIndianapolis,@ NE,7,4.0,1,0,0,0,0,24,222,200,422
Philadelphia EaglesPhiladelphia,@ BAL,7,3.0,0,0,0,0,0,19,206,166,372
Houston TexansHouston,@ JAX,6,0.0,1,0,0,0,0,20,276,97,373
Minnesota VikingsMinnesota,vs ARI,6,1.0,2,0,0,0,0,22,252,154,406
New England PatriotsNew England,vs IND,5,0.0,2,0,0,0,0,25,109,144,253
Chicago BearsChicago,@ DET,5,2.0,0,0,1,0,0,23,211,194,405
Cleveland BrownsCleveland,@ DEN,4,0.0,2,0,0,0,0,41,294,106,400
Los Angeles RamsLA Rams,@ NO,4,0.0,0,0,0,0,0,14,184,143,327
Tampa Bay BuccaneersTampa Bay,@ CAR,4,1.0,0,0,1,0,0,23,289,78,367
Tennessee TitansTennessee,@ WAS,4,2.0,1,0,0,0,0,42,196,267,463
New Orleans SaintsNew Orleans,vs LA,3,2.0,0,0,0,0,0,21,166,156,322
Baltimore RavensBaltimore,vs PHI,3,2.0,0,0,0,0,0,24,112,140,252
Jacksonville JaguarsJacksonville,vs HOU,3,2.0,0,0,0,0,0,23,218,108,326
New York GiantsNY Giants,@ DAL,1,0.0,0,0,0,0,0,27,195,122,317
Miami DolphinsMiami,@ GB,0,0.0,0,0,0,0,0,30,274,114,388
San Francisco 49ersSan Francisco,@ BUF,0,0.0,0,0,0,0,0,35,152,220,372
