Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chris BoswellPITC. BoswellPIT,vs NYG,14,2,2,4,4,0
Anders CarlsonNYJA. CarlsonNYJ,@ SF,14,3,3,3,3,1
Jake ElliottPHIJ. ElliottPHI,@ CIN,13,4,4,3,3,0
Jake BatesDETJ. BatesDET,vs TEN,12,7,7,1,1,1
Greg JosephNYJG. JosephNYJ,@ PIT,12,0,0,4,4,0
Brandon McManusGBB. McManusGB,@ JAX,12,3,3,3,3,0
Austin SeibertWASA. SeibertWAS,vs CHI,12,0,0,5,4,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs IND,11,2,2,3,3,0
Dustin HopkinsCLED. HopkinsCLE,vs BAL,11,2,2,3,3,0
Jason SandersMIAJ. SandersMIA,vs ARI,11,3,3,2,2,1
Daniel CarlsonLVD. CarlsonLV,vs KC,10,2,2,2,2,1
Chad RylandARIC. RylandARI,@ MIA,10,2,2,2,2,1
Harrison ButkerKCH. ButkerKC,@ LV,9,3,3,2,2,0
Cam LittleJAXC. LittleJAX,vs GB,9,3,3,2,2,0
Cameron DickerLACC. DickerLAC,vs NO,8,3,2,2,2,0
Matt GayINDM. GayIND,@ HOU,8,2,2,2,2,0
Chase McLaughlinTBC. McLaughlinTB,vs ATL,8,3,3,1,1,1
Will ReichardMINW. ReichardMIN,@ LA,8,2,2,2,2,0
Tyler BassBUFT. BassBUF,@ SEA,7,4,4,1,1,0
Younghoe KooATLY. KooATL,@ TB,7,4,4,2,1,0
Brandon AubreyDALB. AubreyDAL,@ SF,6,3,3,1,1,0
Blake GrupeNOB. GrupeNO,@ LAC,6,0,0,3,2,0
Justin TuckerBALJ. TuckerBAL,@ CLE,6,3,3,2,1,0
Evan McPhersonCINE. McPhersonCIN,vs PHI,5,2,2,2,1,0
Joey SlyeNEJ. SlyeNE,vs NYJ,5,2,2,1,1,0
Joshua KartyLAJ. KartyLA,vs MIN,4,4,4,0,0,0
Wil LutzDENW. LutzDEN,vs CAR,4,4,4,0,0,0
Jason MyersSEAJ. MyersSEA,vs BUF,4,1,1,1,1,0
Greg ZuerleinNYJG. ZuerleinNYJ,@ NE,4,2,1,2,1,0
Nick FolkTENN. FolkTEN,@ DET,2,2,2,0,0,0
Eddy PineiroCARE. PineiroCAR,@ DEN,2,2,2,0,0,0
Cairo SantosCHIC. SantosCHI,@ WAS,1,1,1,0,0,0
