Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Harrison ButkerH. Butker,CIN@KC,21.00,1,1,6,6,1
Ka'imi FairbairnK. Fairbairn,TEN@HOU,16.00,2,2,4,4,1
Brandon McManusB. McManus,CAR@JAX,14.00,2,2,4,4,0
Cameron DickerC. Dicker,LAC@DEN,13.00,0,0,4,3,2
Cairo SantosC. Santos,ATL@CHI,13.00,4,4,4,3,0
Chris BoswellC. Boswell,PIT@SEA,12.00,3,3,3,3,0
Matt GayM. Gay,LV@IND,11.00,2,2,3,3,0
Blake GrupeB. Grupe,NO@TB,11.00,2,2,3,3,0
Jason MyersJ. Myers,PIT@SEA,11.00,2,2,3,3,0
Brandon AubreyB. Aubrey,DET@DAL,10.00,2,2,2,2,1
Wil LutzW. Lutz,LAC@DEN,10.00,1,1,4,3,0
Tyler BassT. Bass,NE@BUF,9.00,3,3,2,2,0
Anders CarlsonA. Carlson,GB@MIN,9.00,4,3,2,2,0
Jake MoodyJ. Moody,SF@WAS,9.00,3,3,2,2,0
Matt PraterM. Prater,ARI@PHI,9.00,3,3,2,2,0
Daniel CarlsonD. Carlson,LV@IND,8.00,2,2,2,2,0
Justin TuckerJ. Tucker,MIA@BAL,8.00,8,8,0,0,0
Greg ZuerleinG. Zuerlein,NYJ@CLE,8.00,2,2,3,2,0
Michael BadgleyM. Badgley,DET@DAL,7.00,1,1,2,2,0
Mason CrosbyM. Crosby,LA@NYG,7.00,2,1,3,2,0
Jake ElliottJ. Elliott,ARI@PHI,7.00,4,4,1,1,0
Riley PattersonR. Patterson,NYJ@CLE,7.00,5,4,1,1,0
Jason SandersJ. Sanders,MIA@BAL,7.00,1,1,2,2,0
Greg JosephG. Joseph,GB@MIN,6.00,1,1,1,1,1
Nick FolkN. Folk,TEN@HOU,5.00,0,0,1,1,1
Younghoe KooY. Koo,ATL@CHI,5.00,2,2,3,1,0
Evan McPhersonE. McPherson,CIN@KC,5.00,2,2,1,1,0
Joey SlyeJ. Slye,SF@WAS,4.00,1,1,1,1,0
Chad RylandC. Ryland,NE@BUF,3.00,3,3,1,0,0
Lucas HavrisikL. Havrisik,LA@NYG,2.00,4,2,0,0,0
Chase McLaughlinC. McLaughlin,NO@TB,1.00,1,1,0,0,0
