Player,Pos,Team,College
"Uche, Josh",LB,New England,Michigan
"Udoh, Olisaemeka",OG,New Orleans,Elon
"Uguak, Lwal",DL,Tampa Bay,Texas Christian
"Ugwoegbu, David",DE,Buffalo,Houston
"Ukwu, Isaac",DE,Detroit,Mississippi
"Ulofoshio, Edefuan",LB,Buffalo,Washington
"Urban, Brent",DE,Baltimore,Virginia
"Uwazurike, Eyioma",DT,Denver,Iowa State
"Uzomah, C.J.",TE,Philadelphia,Auburn
