Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Younghoe KooATLY. KooATL,vs TB,16,3,3,5,3,2
Chase McLaughlinTBC. McLaughlinTB,@ ATL,16,3,3,3,3,2
Ka'imi FairbairnHOUK. FairbairnHOU,vs BUF,15,2,2,3,3,2
Will ReichardMINW. ReichardMIN,vs NYJ,15,2,2,3,3,2
Harrison ButkerKCH. ButkerKC,vs NO,14,2,2,5,4,0
Cam LittleJAXC. LittleJAX,vs IND,13,4,4,3,3,0
Justin TuckerBALJ. TuckerBAL,@ CIN,13,5,5,2,2,1
Wil LutzDENW. LutzDEN,vs LV,12,4,4,2,2,1
Greg JosephNYJG. JosephNYJ,@ SEA,11,2,2,3,3,0
Jason SandersMIAJ. SandersMIA,@ NE,11,0,0,4,3,1
Brandon AubreyDALB. AubreyDAL,@ PIT,10,2,2,3,2,1
Matt GayINDM. GayIND,@ JAX,10,4,4,2,2,0
Chad RylandARIC. RylandARI,@ SF,10,1,1,4,3,0
Austin SeibertWASA. SeibertWAS,vs CLE,10,4,4,2,2,0
Dustin HopkinsCLED. HopkinsCLE,@ WAS,9,1,1,2,2,1
Tyler BassBUFT. BassBUF,@ HOU,8,2,2,2,2,0
Jake MoodySFJ. MoodySF,vs ARI,8,2,2,2,2,0
Jason MyersSEAJ. MyersSEA,vs NYG,8,2,2,3,2,0
Brayden NarvesonTENB. NarvesonTEN,@ LA,6,3,3,1,1,0
Cairo SantosCHIC. SantosCHI,vs CAR,6,4,3,1,1,0
Chris BoswellPITC. BoswellPIT,vs DAL,5,2,2,1,1,0
Greg ZuerleinNYJG. ZuerleinNYJ,@ MIN,5,2,2,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ DEN,4,1,1,1,1,0
Evan McPhersonCINE. McPhersonCIN,vs BAL,4,4,4,1,0,0
Eddy PineiroCARE. PineiroCAR,@ CHI,4,1,1,2,1,0
Joey SlyeNEJ. SlyeNE,vs MIA,4,1,1,2,1,0
Blake GrupeNOB. GrupeNO,@ KC,1,2,1,0,0,0
Joshua KartyLAJ. KartyLA,vs GB,1,2,1,0,0,0
