Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Ka'imi FairbairnHOUK. FairbairnHOU,vs TEN,16,3,2,4,4,1
Greg ZuerleinDALG. ZuerleinDAL,@ NYG,15,1,1,4,4,1
Ryan SuccopTBR. SuccopTB,vs ATL,14,5,5,3,3,0
Brandon McManusDENB. McManusDEN,vs LV,11,2,2,6,3,0
Samuel SlomanTENS. SlomanTEN,@ HOU,11,5,5,2,2,0
Tristan VizcainoBUFT. VizcainoBUF,@ SF,11,2,2,3,3,0
Matt GayLAM. GayLA,vs ARI,10,1,1,3,3,0
Cairo SantosCHIC. SantosCHI,vs GB,10,1,1,3,3,0
Matthew WrightPITM. WrightPIT,@ CLE,10,1,1,3,3,0
Younghoe KooATLY. KooATL,@ TB,9,3,3,2,2,0
Wil LutzNOW. LutzNO,@ CAR,9,4,3,2,2,0
Tyler BassBUFT. BassBUF,vs MIA,8,8,8,0,0,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs JAX,8,2,2,4,2,0
Dustin HopkinsWASD. HopkinsWAS,@ PHI,8,2,2,2,2,0
Jason MyersSEAJ. MyersSEA,@ SF,8,3,2,2,2,0
Jason SandersMIAJ. SandersMIA,@ BUF,8,2,2,2,2,0
Justin TuckerBALJ. TuckerBAL,@ CIN,8,5,5,1,1,0
Dan BaileyMIND. BaileyMIN,@ DET,7,5,4,2,1,0
Graham GanoNYGG. GanoNYG,vs DAL,7,3,2,1,1,1
Matt PraterDETM. PraterDET,vs MIN,7,3,2,1,1,1
Daniel CarlsonLVD. CarlsonLV,@ DEN,6,3,3,1,1,0
Cody ParkeyCLEC. ParkeyCLE,vs PIT,6,3,3,1,1,0
Mason CrosbyGBM. CrosbyGB,@ CHI,5,5,5,0,0,0
Michael BadgleyLACM. BadgleyLAC,@ KC,4,4,4,0,0,0
Nick FolkNEN. FolkNE,vs NYJ,4,4,4,0,0,0
Harrison ButkerKCH. ButkerKC,vs LAC,3,3,3,0,0,0
Austin SeibertCINA. SeibertCIN,vs BAL,3,0,0,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs WAS,2,2,2,0,0,0
Chase McLaughlinNYJC. McLaughlinNYJ,@ NE,2,2,2,0,0,0
Aldrick RosasJAXA. RosasJAX,@ IND,2,2,2,0,0,0
Mike NugentARIM. NugentARI,@ LA,1,1,1,1,0,0
Joey SlyeCARJ. SlyeCAR,vs NO,1,1,1,0,0,0
