Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Matt GayM. Gay,DEN@LA,19.00,6,6,3,3,2
Brett MaherB. Maher,PHI@DAL,16.00,4,4,4,4,0
Mason CrosbyM. Crosby,GB@MIA,14.00,2,2,4,4,0
Matt PraterM. Prater,TB@ARI,14.00,1,1,3,3,2
Robbie GouldR. Gould,WAS@SF,13.00,4,4,3,3,0
Riley PattersonR. Patterson,JAX@NYJ,13.00,1,1,5,4,0
Eddy PineiroE. Pineiro,DET@CAR,13.00,4,4,3,3,0
Ryan SuccopR. Succop,TB@ARI,13.00,1,1,4,4,0
Graham GanoG. Gano,NYG@MIN,12.00,1,1,3,3,1
Greg JosephG. Joseph,NYG@MIN,11.00,3,3,2,2,1
Jake ElliottJ. Elliott,PHI@DAL,10.00,4,4,2,2,0
Younghoe KooY. Koo,ATL@BAL,9.00,0,0,3,3,0
Justin TuckerJ. Tucker,ATL@BAL,9.00,0,0,4,3,0
Cameron DickerC. Dicker,LAC@IND,8.00,2,2,2,2,0
Brandon McManusB. McManus,DEN@LA,8.00,0,0,2,2,1
Jason SandersJ. Sanders,GB@MIA,8.00,2,2,3,2,0
Chris BoswellC. Boswell,LV@PIT,7.00,1,1,4,2,0
Ka'imi FairbairnK. Fairbairn,HOU@TEN,7.00,1,1,2,2,0
Cairo SantosC. Santos,BUF@CHI,7.00,1,1,2,2,0
Harrison ButkerH. Butker,SEA@KC,6.00,3,3,1,1,0
Michael BadgleyM. Badgley,DET@CAR,5.00,2,2,1,1,0
Wil LutzW. Lutz,NO@CLE,5.00,2,2,1,1,0
Daniel CarlsonD. Carlson,LV@PIT,4.00,1,1,1,1,0
Evan McPhersonE. McPherson,CIN@NE,4.00,2,1,2,1,0
Jason MyersJ. Myers,SEA@KC,4.00,1,1,1,1,0
Cade YorkC. York,NO@CLE,4.00,1,1,1,1,0
Tyler BassT. Bass,BUF@CHI,3.00,4,3,1,0,0
Chase McLaughlinC. McLaughlin,LAC@IND,3.00,0,0,1,1,0
Greg ZuerleinG. Zuerlein,JAX@NYJ,3.00,0,0,1,1,0
Randy BullockR. Bullock,HOU@TEN,2.00,2,2,0,0,0
Joey SlyeJ. Slye,WAS@SF,2.00,2,2,0,0,0
Nick FolkN. Folk,CIN@NE,0.00,2,0,0,0,0
