Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Brett MaherB. Maher,DAL@MIN,22.00,4,4,4,4,3
Tyler BassT. Bass,CLE@BUF,21.00,1,1,6,6,1
Evan McPhersonE. McPherson,CIN@PIT,15.00,4,4,3,3,1
Harrison ButkerH. Butker,KC@LAC,14.00,3,3,3,3,1
Daniel CarlsonD. Carlson,LV@DEN,14.00,1,1,4,3,2
Chase McLaughlinC. McLaughlin,PHI@IND,12.00,1,1,4,3,1
Brandon McManusB. McManus,LV@DEN,12.00,1,1,4,3,1
Matthew WrightM. Wright,CIN@PIT,12.00,3,3,3,3,0
Younghoe KooY. Koo,CHI@ATL,11.00,3,3,2,2,1
Joey SlyeJ. Slye,WAS@HOU,11.00,2,2,3,3,0
Matt GayM. Gay,LA@NO,10.00,2,2,2,2,1
Cameron DickerC. Dicker,KC@LAC,9.00,3,3,2,2,0
Wil LutzW. Lutz,LA@NO,9.00,3,3,2,2,0
Robbie GouldR. Gould,SF@ARI,8.00,5,5,1,1,0
Michael BadgleyM. Badgley,DET@NYG,7.00,4,4,1,1,0
Justin TuckerJ. Tucker,CAR@BAL,7.00,1,1,2,2,0
Cairo SantosC. Santos,CHI@ATL,6.00,3,3,2,1,0
Jake ElliottJ. Elliott,PHI@IND,5.00,2,2,1,1,0
Cade YorkC. York,CLE@BUF,5.00,2,2,2,1,0
Ka'imi FairbairnK. Fairbairn,WAS@HOU,4.00,1,1,1,1,0
Nick FolkN. Folk,NYJ@NE,4.00,1,1,3,1,0
Matt PraterM. Prater,SF@ARI,4.00,1,1,1,1,0
Mason CrosbyM. Crosby,TEN@GB,3.00,1,0,1,1,0
Greg JosephG. Joseph,DAL@MIN,3.00,0,0,1,1,0
Josh LamboJ. Lambo,TEN@GB,3.00,4,3,0,0,0
Eddy PineiroE. Pineiro,CAR@BAL,3.00,0,0,1,1,0
Greg ZuerleinG. Zuerlein,NYJ@NE,3.00,0,0,1,1,0
Graham GanoG. Gano,DET@NYG,0.00,2,0,0,0,0
