Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Baltimore RavensBaltimore,@ HOU,18,4.0,1,0,1,0,1,16,253,51,304
Indianapolis ColtsIndianapolis,vs MIN,18,3.0,3,1,0,0,0,11,95,80,175
Tampa Bay BuccaneersTampa Bay,vs CAR,17,5.0,2,0,2,0,0,17,340,87,427
Chicago BearsChicago,vs NYG,15,4.0,1,0,1,0,0,13,220,75,295
Pittsburgh SteelersPittsburgh,vs DEN,14,7.0,1,1,1,0,0,21,215,104,319
Green Bay PackersGreen Bay,vs DET,13,4.0,1,0,0,0,1,21,218,89,307
Arizona CardinalsArizona,vs WAS,12,4.0,0,0,2,0,0,15,199,117,316
New York GiantsNY Giants,@ CHI,12,4.0,2,0,0,0,0,17,169,135,304
New England PatriotsNew England,@ SEA,10,2.0,1,0,0,0,1,35,275,154,429
Los Angeles RamsLA Rams,@ PHI,10,0.0,2,0,1,0,0,19,242,121,363
San Francisco 49ersSan Francisco,@ NYJ,8,1.0,0,0,0,0,0,13,173,104,277
Kansas City ChiefsKansas City,@ LAC,8,2.0,1,0,0,0,0,20,296,183,479
Atlanta FalconsAtlanta,@ DAL,7,1.0,0,0,3,0,0,40,445,125,570
Denver BroncosDenver,@ PIT,6,1.0,1,0,1,0,0,26,301,109,410
Tennessee TitansTennessee,vs JAX,6,2.0,2,0,0,0,0,30,315,165,480
Philadelphia EaglesPhiladelphia,vs LA,5,1.0,0,0,1,1,0,37,258,191,449
New York JetsNY Jets,vs SF,5,3.0,1,0,0,0,0,31,177,182,359
New Orleans SaintsNew Orleans,@ LV,5,3.0,0,0,1,0,0,34,261,116,377
Washington Football TeamWashington,@ ARI,5,3.0,1,0,0,0,0,30,278,160,438
Cleveland BrownsCleveland,vs CIN,5,3.0,0,0,1,0,0,30,285,68,353
Minnesota VikingsMinnesota,@ IND,4,2.0,1,0,0,0,0,28,203,151,354
Houston TexansHouston,vs BAL,4,4.0,0,0,0,0,0,33,177,230,407
Los Angeles ChargersLA Chargers,vs KC,4,1.0,0,0,0,1,0,23,289,125,414
Carolina PanthersCarolina,@ TB,4,0.0,1,0,1,0,0,31,217,122,339
Miami DolphinsMiami,vs BUF,3,1.0,0,0,1,0,0,31,411,112,523
Las Vegas RaidersLas Vegas,vs NO,3,0.0,1,0,0,0,0,24,312,112,424
Seattle SeahawksSeattle,vs NE,3,1.0,1,0,0,0,0,30,397,67,464
Buffalo BillsBuffalo,@ MIA,3,3.0,0,0,0,0,0,28,311,99,410
Cincinnati BengalsCincinnati,@ CLE,2,0.0,1,0,0,0,0,35,219,215,434
Jacksonville JaguarsJacksonville,@ TEN,1,1.0,0,0,0,0,0,33,231,123,354
Detroit LionsDetroit,@ GB,1,1.0,0,0,0,0,0,42,229,259,488
Dallas CowboysDallas,vs ATL,1,1.0,0,0,0,0,0,39,267,113,380
