Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Atlanta FalconsAtlanta,vs LV,31,5.0,1,0,4,0,1,6,203,40,243
San Francisco 49ersSan Francisco,@ LA,20,2.0,2,0,2,0,1,20,182,126,308
Carolina PanthersCarolina,@ MIN,20,2.0,0,0,3,0,2,28,291,96,387
Washington Football TeamWashington,@ DAL,18,4.0,1,0,1,0,1,16,187,60,247
Houston TexansHouston,@ DET,17,4.0,1,0,2,0,1,25,279,109,388
Pittsburgh SteelersPittsburgh,vs BAL,17,3.0,1,0,1,0,1,14,90,129,219
Miami DolphinsMiami,@ NYJ,17,3.0,2,0,0,0,0,3,173,87,260
New Orleans SaintsNew Orleans,@ DEN,17,1.0,2,0,1,0,0,3,12,100,112
Green Bay PackersGreen Bay,vs CHI,16,3.0,2,0,1,0,1,25,229,121,350
Los Angeles RamsLA Rams,vs SF,15,2.0,1,0,2,0,1,23,233,112,345
Cincinnati BengalsCincinnati,vs NYG,12,0.0,0,0,1,0,1,19,244,142,386
Seattle SeahawksSeattle,@ PHI,12,6.0,1,0,0,0,0,17,180,70,250
New York JetsNY Jets,vs MIA,12,4.0,0,0,2,0,0,20,241,104,345
New York GiantsNY Giants,@ CIN,12,2.0,1,0,2,0,0,17,115,40,155
Arizona CardinalsArizona,@ NE,11,3.0,2,0,0,0,0,20,69,110,179
Tennessee TitansTennessee,@ IND,11,2.0,1,0,0,0,1,26,280,56,336
Los Angeles ChargersLA Chargers,@ BUF,10,3.0,1,0,2,0,0,27,160,172,332
Buffalo BillsBuffalo,vs LAC,9,3.0,1,0,0,0,0,17,291,76,367
New England PatriotsNew England,vs ARI,8,2.0,1,0,0,0,0,17,160,138,298
Baltimore RavensBaltimore,@ PIT,8,0.0,1,0,1,0,0,19,266,68,334
Kansas City ChiefsKansas City,@ TB,6,1.0,2,0,0,0,0,24,342,75,417
Minnesota VikingsMinnesota,vs CAR,5,0.0,1,0,0,1,0,27,267,107,374
Jacksonville JaguarsJacksonville,vs CLE,5,2.0,0,0,1,0,0,27,252,207,459
Denver BroncosDenver,vs NO,5,3.0,1,0,0,0,0,31,63,229,292
Dallas CowboysDallas,vs WAS,5,3.0,1,0,0,0,0,41,156,182,338
Tampa Bay BuccaneersTampa Bay,vs KC,5,2.0,0,0,1,0,0,27,456,87,543
Detroit LionsDetroit,vs HOU,4,2.0,0,0,1,0,0,41,307,77,384
Las Vegas RaidersLas Vegas,@ ATL,3,1.0,1,0,0,0,0,43,179,125,304
Philadelphia EaglesPhiladelphia,vs SEA,3,2.0,0,0,0,0,0,23,225,76,301
Indianapolis ColtsIndianapolis,vs TEN,1,1.0,0,0,0,0,0,45,220,229,449
Cleveland BrownsCleveland,@ JAX,1,0.0,0,0,0,0,0,25,235,140,375
Chicago BearsChicago,@ GB,0,0.0,0,0,0,0,0,41,211,182,393
