Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Houston TexansHouston,@ DAL,22,5.0,1,0,1,0,1,10,324,64,388
Denver BroncosDenver,vs ATL,16,4.0,1,0,0,0,0,6,176,50,226
Minnesota VikingsMinnesota,@ TEN,14,5.0,1,0,0,0,0,13,261,33,294
Detroit LionsDetroit,vs JAX,13,1.0,1,0,0,0,0,6,129,41,170
Pittsburgh SteelersPittsburgh,vs BAL,12,2.0,1,0,2,0,0,16,205,124,329
Baltimore RavensBaltimore,@ PIT,10,4.0,1,0,0,0,0,18,181,122,303
Los Angeles RamsLA Rams,@ NE,10,3.0,1,0,1,1,0,22,257,125,382
San Francisco 49ersSan Francisco,vs SEA,10,4.0,1,0,0,0,0,20,195,94,289
Miami DolphinsMiami,vs LV,9,3.0,1,0,0,0,0,19,268,60,328
Philadelphia EaglesPhiladelphia,vs WAS,9,3.0,1,0,0,0,0,18,171,93,264
Green Bay PackersGreen Bay,@ CHI,9,3.0,0,0,0,1,0,19,212,179,391
Seattle SeahawksSeattle,@ SF,8,2.0,1,0,0,0,0,17,146,131,277
Buffalo BillsBuffalo,vs KC,7,2.0,2,0,0,0,0,21,181,78,259
Chicago BearsChicago,vs GB,7,1.0,1,0,0,0,0,20,260,106,366
New Orleans SaintsNew Orleans,vs CLE,7,3.0,0,0,0,0,0,14,377,66,443
Tennessee TitansTennessee,vs MIN,5,2.0,0,0,1,0,0,23,236,82,318
Cleveland BrownsCleveland,@ NO,5,1.0,1,0,1,0,0,35,259,214,473
Indianapolis ColtsIndianapolis,@ NYJ,4,3.0,0,0,0,0,0,27,162,91,253
New York JetsNY Jets,vs IND,4,2.0,0,0,1,0,0,28,241,91,332
Los Angeles ChargersLA Chargers,vs CIN,4,3.0,0,0,0,0,0,27,342,110,452
Cincinnati BengalsCincinnati,@ LAC,4,2.0,0,0,1,0,0,34,280,155,435
Washington CommandersWashington,@ PHI,3,2.0,0,0,0,0,0,26,206,228,434
Dallas CowboysDallas,vs HOU,3,1.0,1,0,0,0,0,34,250,141,391
Las Vegas RaidersLas Vegas,@ MIA,2,2.0,0,0,0,0,0,34,271,82,353
Kansas City ChiefsKansas City,@ BUF,2,0.0,1,0,0,0,0,30,262,104,366
Atlanta FalconsAtlanta,@ DEN,1,1.0,0,0,0,0,0,38,295,105,400
New England PatriotsNew England,vs LA,0,0.0,0,0,0,0,0,28,295,107,402
Jacksonville JaguarsJacksonville,@ DET,0,0.0,0,0,0,0,0,52,449,196,645
