Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Brandon McManusDENB. McManusDEN,@ LAC,14,1,1,4,3,2
Jason SandersMIAJ. SandersMIA,@ LV,14,2,2,4,4,0
Michael BadgleyLACM. BadgleyLAC,vs DEN,13,1,1,4,4,0
Daniel CarlsonLVD. CarlsonLV,vs MIA,13,2,1,4,4,0
Austin SeibertCINA. SeibertCIN,@ HOU,13,4,4,4,3,0
Greg ZuerleinDALG. ZuerleinDAL,vs PHI,13,4,4,3,3,0
Matt GayLAM. GayLA,@ SEA,11,0,0,3,3,1
Cairo SantosCHIC. SantosCHI,@ JAX,11,5,5,2,2,0
Wil LutzNOW. LutzNO,vs MIN,10,7,7,1,1,0
Justin TuckerBALJ. TuckerBAL,vs NYG,9,3,3,2,2,0
Tyler BassBUFT. BassBUF,@ NE,8,5,5,1,1,0
Jason MyersSEAJ. MyersSEA,vs LA,8,2,2,2,2,0
Harrison ButkerKCH. ButkerKC,vs ATL,7,2,2,1,1,1
Ka'imi FairbairnHOUK. FairbairnHOU,vs CIN,7,4,4,1,1,0
Graham GanoNYGG. GanoNYG,@ BAL,7,1,1,2,2,0
Dustin HopkinsWASD. HopkinsWAS,vs CAR,7,1,1,2,2,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ PIT,6,3,3,1,1,0
Mike NugentARIM. NugentARI,vs SF,6,0,0,2,2,0
Jake ElliottPHIJ. ElliottPHI,@ DAL,5,2,2,1,1,0
Sam FickenNYJS. FickenNYJ,vs CLE,5,3,2,2,1,0
Aldrick RosasJAXA. RosasJAX,vs CHI,5,2,2,1,1,0
Ryan SuccopTBR. SuccopTB,@ DET,5,7,5,1,0,0
Mason CrosbyGBM. CrosbyGB,vs TEN,4,5,4,0,0,0
Cody ParkeyCLEC. ParkeyCLE,@ NYJ,4,2,1,1,1,0
Matthew WrightPITM. WrightPIT,vs IND,4,4,4,0,0,0
Dan BaileyMIND. BaileyMIN,@ NO,3,4,3,0,0,0
Nick FolkNEN. FolkNE,vs BUF,3,1,0,1,1,0
Stephen GostkowskiTENS. GostkowskiTEN,@ GB,2,2,2,0,0,0
Robbie GouldSFR. GouldSF,@ ARI,2,3,2,2,0,0
Younghoe KooATLY. KooATL,@ KC,2,2,2,1,0,0
Joey SlyeCARJ. SlyeCAR,@ WAS,2,3,2,0,0,0
Matt PraterDETM. PraterDET,vs TB,1,1,1,0,0,0
