Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Detroit LionsDetroit,@ DAL,21,4.0,3,0,2,0,0,9,198,53,251
Tampa Bay BuccaneersTampa Bay,@ NO,18,5.0,2,0,1,0,1,27,222,81,303
Pittsburgh SteelersPittsburgh,@ LV,16,1.0,1,0,2,1,0,13,218,57,275
Cleveland BrownsCleveland,@ PHI,13,1.0,0,0,0,1,1,20,256,116,372
Green Bay PackersGreen Bay,vs ARI,13,0.0,0,0,3,0,0,13,214,89,303
Houston TexansHouston,@ NE,13,4.0,2,0,2,0,0,21,209,82,291
New Orleans SaintsNew Orleans,vs TB,13,1.0,3,0,0,0,1,51,317,277,594
Chicago BearsChicago,vs JAX,12,4.0,1,0,1,0,0,16,210,68,278
Cincinnati BengalsCincinnati,@ NYG,11,2.0,1,0,0,0,0,7,190,119,309
Los Angeles ChargersLA Chargers,@ DEN,10,2.0,1,0,1,0,0,16,206,110,316
New York GiantsNY Giants,vs CIN,10,4.0,0,0,1,0,0,17,183,121,304
Buffalo BillsBuffalo,@ NYJ,9,3.0,1,0,0,0,0,20,272,121,393
Philadelphia EaglesPhiladelphia,vs CLE,9,5.0,0,0,0,0,0,16,144,100,244
Atlanta FalconsAtlanta,@ CAR,8,0.0,2,0,0,0,0,20,221,114,335
San Francisco 49ersSan Francisco,@ SEA,8,1.0,2,0,1,0,0,24,306,52,358
Jacksonville JaguarsJacksonville,@ CHI,7,3.0,1,0,0,1,0,35,221,152,373
Indianapolis ColtsIndianapolis,@ TEN,6,0.0,1,0,0,0,0,17,95,146,241
Seattle SeahawksSeattle,vs SF,6,0.0,0,0,0,0,1,36,255,228,483
Baltimore RavensBaltimore,vs WAS,6,3.0,0,0,0,1,0,23,253,52,305
Tennessee TitansTennessee,vs IND,6,0.0,1,0,0,0,0,20,189,80,269
New England PatriotsNew England,vs HOU,4,2.0,1,0,0,0,0,41,176,192,368
Denver BroncosDenver,vs LAC,4,3.0,0,0,0,0,0,23,222,128,350
Washington CommandersWashington,@ BAL,4,2.0,1,0,0,0,0,30,308,176,484
New York JetsNY Jets,vs BUF,3,2.0,0,0,0,0,0,23,210,149,359
Las Vegas RaidersLas Vegas,vs PIT,3,3.0,0,0,0,0,0,32,110,183,293
Dallas CowboysDallas,vs DET,3,3.0,0,0,0,0,0,47,308,184,492
Arizona CardinalsArizona,@ GB,2,0.0,1,0,0,0,0,34,258,179,437
Carolina PanthersCarolina,vs ATL,2,0.0,0,0,1,0,0,38,225,198,423
