Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chris BoswellPITC. BoswellPIT,@ CIN,16,5,5,4,3,1
Chase McLaughlinTBC. McLaughlinTB,@ CAR,16,2,2,5,4,1
Chad RylandARIC. RylandARI,@ MIN,16,1,1,6,5,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ JAX,13,2,2,3,3,1
John Parker RomoNEJ. RomoNE,@ MIN,13,2,2,4,3,1
Matthew WrightTENM. WrightTEN,@ KC,13,1,1,5,4,0
Brandon McManusGBB. McManusGB,vs MIA,12,3,3,3,3,0
Joey SlyeNEJ. SlyeNE,vs IND,12,1,1,5,3,1
Jake BatesDETJ. BatesDET,vs CHI,11,2,2,4,3,0
Cameron DickerLACC. DickerLAC,@ ATL,11,0,0,3,3,1
Wil LutzDENW. LutzDEN,vs CLE,11,5,5,2,2,0
Eddy PineiroCARE. PineiroCAR,vs TB,11,2,2,5,3,0
Blake GrupeNOB. GrupeNO,vs LA,10,0,0,3,2,2
Jason MyersSEAJ. MyersSEA,@ NYJ,10,3,2,2,2,1
Brandon AubreyDALB. AubreyDAL,vs NYG,9,3,3,2,2,0
Justin TuckerBALJ. TuckerBAL,vs PHI,9,2,1,4,2,1
Graham GanoNYGG. GanoNYG,@ DAL,8,2,2,2,2,0
Evan McPhersonCINE. McPhersonCIN,vs PIT,8,5,5,1,1,0
Nick FolkTENN. FolkTEN,@ WAS,7,1,1,2,2,0
Younghoe KooATLY. KooATL,vs LAC,7,1,1,3,2,0
Jake ElliottPHIJ. ElliottPHI,@ BAL,6,3,3,1,1,0
Zane GonzalezWASZ. GonzalezWAS,vs TEN,6,6,6,2,0,0
Dustin HopkinsCLED. HopkinsCLE,@ DEN,6,3,3,2,1,0
Cam LittleJAXC. LittleJAX,vs HOU,6,0,0,3,2,0
Tyler BassBUFT. BassBUF,vs SF,5,5,5,1,0,0
Daniel CarlsonLVD. CarlsonLV,@ KC,5,2,2,4,1,0
Matt GayINDM. GayIND,@ NE,5,2,2,1,1,0
Jake MoodySFJ. MoodySF,@ BUF,4,1,1,3,1,0
Joshua KartyLAJ. KartyLA,@ NO,3,3,3,0,0,0
Jason SandersMIAJ. SandersMIA,@ GB,3,0,0,1,1,0
Cairo SantosCHIC. SantosCHI,@ DET,2,2,2,0,0,0
Anders CarlsonNYJA. CarlsonNYJ,vs SEA,1,2,1,0,0,0
