Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Jason SandersMIAJ. SandersMIA,vs NYJ,16,1,0,4,4,2
Matthew WrightTENM. WrightTEN,@ KC,15,1,1,4,4,1
Anders CarlsonNYJA. CarlsonNYJ,@ MIA,14,2,2,4,4,0
Jason MyersSEAJ. MyersSEA,@ ARI,12,3,3,3,3,0
Chris BoswellPITC. BoswellPIT,vs CLE,11,3,3,2,2,1
Jake BatesDETJ. BatesDET,vs GB,10,4,4,2,2,0
Cade YorkCINC. YorkCIN,@ DAL,9,3,3,2,2,0
Brandon AubreyDALB. AubreyDAL,vs CIN,8,2,2,2,2,0
Joshua KartyLAJ. KartyLA,vs BUF,8,6,5,1,1,0
Jake MoodySFJ. MoodySF,vs CHI,8,5,5,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ TB,7,1,1,2,2,0
Younghoe KooATLY. KooATL,@ MIN,7,1,1,2,2,0
Brandon McManusGBB. McManusGB,@ DET,7,4,4,1,1,0
Tyler BassBUFT. BassBUF,@ LA,6,6,6,0,0,0
Nick FolkTENN. FolkTEN,vs JAX,6,0,0,2,2,0
Will ReichardMINW. ReichardMIN,vs ATL,6,6,6,1,0,0
Cameron DickerLACC. DickerLAC,@ KC,5,2,2,1,1,0
Cam LittleJAXC. LittleJAX,@ TEN,4,1,1,1,1,0
Chase McLaughlinTBC. McLaughlinTB,vs LV,4,4,4,0,0,0
Eddy PineiroCARE. PineiroCAR,@ PHI,4,2,1,1,1,0
Chad RylandARIC. RylandARI,vs SEA,4,1,1,2,1,0
Graham GanoNYGG. GanoNYG,vs NO,3,0,0,2,1,0
Jake ElliottPHIJ. ElliottPHI,vs CAR,2,2,2,1,0,0
Blake GrupeNOB. GrupeNO,@ NYG,2,2,2,2,0,0
Dustin HopkinsCLED. HopkinsCLE,@ PIT,2,2,2,2,0,0
Cairo SantosCHIC. SantosCHI,@ SF,1,1,1,0,0,0
