Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Jake BatesDETJ. BatesDET,@ DAL,17,5,5,4,4,0
Chris BoswellPITC. BoswellPIT,@ LV,16,2,2,4,4,1
Austin SeibertWASA. SeibertWAS,@ BAL,13,2,2,4,3,1
Younghoe KooATLY. KooATL,@ CAR,12,3,3,3,3,0
Justin TuckerBALJ. TuckerBAL,vs WAS,12,3,3,3,3,0
Matthew WrightTENM. WrightTEN,@ SEA,12,3,3,3,3,0
Brandon AubreyDALB. AubreyDAL,vs DET,11,0,0,3,3,1
Cameron DickerLACC. DickerLAC,@ DEN,11,2,2,3,3,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ NE,11,5,5,3,2,0
Dustin HopkinsCLED. HopkinsCLE,@ PHI,10,1,1,4,3,0
Brayden NarvesonTENB. NarvesonTEN,@ GB,10,4,4,3,2,0
Blake GrupeNOB. GrupeNO,vs TB,9,3,3,2,2,0
Chase McLaughlinTBC. McLaughlinTB,@ NO,9,6,6,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs CLE,8,2,2,3,2,0
Matt GayINDM. GayIND,@ TEN,8,2,2,2,2,0
Eddy PineiroCARE. PineiroCAR,vs ATL,8,2,2,2,2,0
Greg ZuerleinNYJG. ZuerleinNYJ,vs BUF,8,2,2,4,2,0
Chad RylandARIC. RylandARI,@ GB,7,1,1,2,2,0
Jason MyersSEAJ. MyersSEA,vs SF,6,3,3,1,1,0
Tyler BassBUFT. BassBUF,@ NYJ,5,3,2,2,1,0
Nick FolkTENN. FolkTEN,vs IND,5,2,2,1,1,0
Evan McPhersonCINE. McPhersonCIN,@ NYG,5,2,2,1,1,0
Cairo SantosCHIC. SantosCHI,vs JAX,5,5,5,1,0,0
Cam LittleJAXC. LittleJAX,@ CHI,4,1,1,1,1,0
Wil LutzDENW. LutzDEN,vs LAC,4,1,1,1,1,0
Joey SlyeNEJ. SlyeNE,vs HOU,3,3,3,0,0,0
Daniel CarlsonLVD. CarlsonLV,vs PIT,1,1,1,0,0,0
Greg JosephNYJG. JosephNYJ,@ NYG,1,1,1,2,0,0
