Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Daniel CarlsonLVD. CarlsonLV,@ CAR,12,4,4,2,2,1
Mason CrosbyGBM. CrosbyGB,@ MIN,11,5,5,2,2,0
Josh LamboJAXJ. LamboJAX,vs IND,11,3,3,2,2,1
Matt PraterDETM. PraterDET,vs CHI,11,2,2,4,3,0
Michael BadgleyLACM. BadgleyLAC,@ CIN,10,1,1,4,3,0
Harrison ButkerKCH. ButkerKC,vs HOU,10,4,4,2,2,0
Robbie GouldSFR. GouldSF,vs ARI,10,2,2,2,2,1
Wil LutzNOW. LutzNO,vs TB,10,4,4,2,2,0
Joey SlyeCARJ. SlyeCAR,vs LV,10,2,1,3,3,0
Tyler BassBUFT. BassBUF,vs NYJ,9,3,3,4,2,0
Randy BullockCINR. BullockCIN,vs LAC,9,1,1,3,2,1
Dustin HopkinsWASD. HopkinsWAS,vs PHI,9,3,3,3,2,0
Cairo SantosCHIC. SantosCHI,@ DET,9,3,3,2,2,0
Rodrigo BlankenshipINDR. BlankenshipIND,@ JAX,8,2,2,3,2,0
Chris BoswellPITC. BoswellPIT,@ NYG,8,3,2,2,2,0
Zane GonzalezARIZ. GonzalezARI,@ SF,8,3,3,3,1,1
Jason MyersSEAJ. MyersSEA,@ ATL,8,5,5,1,1,0
Samuel SlomanTENS. SlomanTEN,@ LA,8,2,2,3,2,0
Justin TuckerBALJ. TuckerBAL,vs CLE,8,5,5,1,1,0
Younghoe KooATLY. KooATL,vs SEA,7,2,1,2,2,0
Jake ElliottPHIJ. ElliottPHI,@ WAS,5,2,2,2,1,0
Sam FickenNYJS. FickenNYJ,@ BUF,5,2,2,1,1,0
Ryan SuccopTBR. SuccopTB,@ NO,5,2,2,2,1,0
Greg ZuerleinDALG. ZuerleinDAL,@ LA,5,2,2,2,1,0
Dan BaileyMIND. BaileyMIN,vs GB,4,1,1,1,1,0
Graham GanoNYGG. GanoNYG,vs PIT,4,1,1,1,1,0
Stephen GostkowskiTENS. GostkowskiTEN,@ DEN,4,2,1,4,1,0
Nick FolkNEN. FolkNE,vs MIA,3,3,3,1,0,0
Jason SandersMIAJ. SandersMIA,@ NE,3,0,0,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ KC,2,2,2,1,0,0
Brandon McManusDENB. McManusDEN,vs TEN,2,2,2,0,0,0
Austin SeibertCINA. SeibertCIN,@ BAL,0,1,0,1,0,0
