Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Cameron DickerLACC. DickerLAC,@ NE,16,4,4,4,4,0
Daniel CarlsonLVD. CarlsonLV,@ NO,15,2,1,4,4,1
Chase McLaughlinTBC. McLaughlinTB,vs CAR,12,6,6,2,2,0
Jake ElliottPHIJ. ElliottPHI,vs DAL,11,5,5,2,2,0
Will ReichardMINW. ReichardMIN,vs GB,11,3,3,4,2,1
Jake BatesDETJ. BatesDET,@ SF,10,4,2,2,2,1
Jason SandersMIAJ. SandersMIA,@ CLE,10,2,2,2,2,1
Graham GanoNYGG. GanoNYG,vs IND,9,6,6,1,1,0
Matt GayINDM. GayIND,@ NYG,9,3,3,3,2,0
Joshua KartyLAJ. KartyLA,vs ARI,9,1,1,2,2,1
Justin TuckerBALJ. TuckerBAL,@ HOU,9,4,4,1,1,1
Tyler BassBUFT. BassBUF,vs NYJ,8,5,5,1,1,0
Cam LittleJAXC. LittleJAX,vs TEN,8,2,2,2,2,0
Jason MyersSEAJ. MyersSEA,@ CHI,8,0,0,2,2,1
Matthew WrightTENM. WrightTEN,@ JAX,7,1,1,2,2,0
Zane GonzalezWASZ. GonzalezWAS,vs ATL,6,3,3,1,1,0
Wil LutzDENW. LutzDEN,@ CIN,6,3,3,1,1,0
Riley PattersonATLR. PattersonATL,@ WAS,6,3,3,2,1,0
Cade YorkCINC. YorkCIN,vs DEN,6,3,3,2,1,0
Harrison ButkerKCH. ButkerKC,@ PIT,5,3,2,1,1,0
Brandon McManusGBB. McManusGB,@ MIN,5,2,2,1,1,0
Chris BoswellPITC. BoswellPIT,vs KC,4,1,1,1,1,0
Blake GrupeNOB. GrupeNO,vs LV,4,1,1,1,1,0
Jake MoodySFJ. MoodySF,vs DET,4,5,4,2,0,0
Dustin HopkinsCLED. HopkinsCLE,vs MIA,3,0,0,1,1,0
Chad RylandARIC. RylandARI,@ LA,3,1,0,1,1,0
Cairo SantosCHIC. SantosCHI,vs SEA,3,0,0,1,1,0
Eddy PineiroCARE. PineiroCAR,@ TB,2,2,2,1,0,0
Brandon AubreyDALB. AubreyDAL,@ PHI,1,1,1,1,0,0
Joey SlyeNEJ. SlyeNE,vs LAC,1,1,1,0,0,0
