Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Wil LutzDENW. LutzDEN,@ LV,21,2,2,5,5,2
Nick FolkTENN. FolkTEN,@ HOU,18,3,3,3,3,3
Daniel CarlsonLVD. CarlsonLV,vs DEN,15,1,1,4,4,1
Cameron DickerLACC. DickerLAC,vs BAL,15,2,2,3,3,2
Jake ElliottPHIJ. ElliottPHI,@ LA,13,4,4,3,3,0
Eddy PineiroCARE. PineiroCAR,vs KC,13,1,1,4,4,0
John Parker RomoNEJ. RomoNE,@ CHI,12,3,3,3,3,0
Jason SandersMIAJ. SandersMIA,vs NE,12,4,4,2,2,1
Spencer ShraderKCS. ShraderKC,@ CAR,12,3,3,3,3,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs TEN,11,3,3,3,2,1
Brandon AubreyDALB. AubreyDAL,@ WAS,10,4,4,4,2,0
Brandon McManusGBB. McManusGB,vs SF,10,5,5,1,1,1
Jake BatesDETJ. BatesDET,@ IND,8,3,3,1,1,1
Austin SeibertWASA. SeibertWAS,vs DAL,8,2,0,3,2,1
Chris BoswellPITC. BoswellPIT,@ CLE,7,1,1,3,2,0
Cairo SantosCHIC. SantosCHI,vs MIN,7,1,1,3,2,0
Matt GayINDM. GayIND,vs DET,6,0,0,2,2,0
Chase McLaughlinTBC. McLaughlinTB,@ NYG,6,4,3,1,1,0
Jason MyersSEAJ. MyersSEA,vs ARI,6,2,1,1,1,1
Chad RylandARIC. RylandARI,@ SEA,6,0,0,3,2,0
Justin TuckerBALJ. TuckerBAL,@ LAC,6,3,3,1,1,0
Dustin HopkinsCLED. HopkinsCLE,vs PIT,4,1,1,1,1,0
Jake MoodySFJ. MoodySF,@ GB,4,1,1,1,1,0
Joshua KartyLAJ. KartyLA,vs PHI,2,2,2,1,0,0
Graham GanoNYGG. GanoNYG,vs TB,1,1,1,0,0,0
Joey SlyeNEJ. SlyeNE,@ MIA,1,1,1,1,0,0
