Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Blake GrupeB. Grupe,NO@ATL,17.00,0,0,6,5,1
Cairo SantosC. Santos,CHI@MIN,14.00,0,0,5,4,1
Brandon McManusB. McManus,JAX@HOU,12.00,1,1,4,3,1
Jason SandersJ. Sanders,MIA@NYJ,12.00,4,4,2,2,1
Tyler BassT. Bass,BUF@PHI,10.00,4,4,4,2,0
Chris BoswellC. Boswell,PIT@CIN,10.00,1,1,3,3,0
Brandon AubreyB. Aubrey,WAS@DAL,9.00,5,4,1,1,1
Jake ElliottJ. Elliott,BUF@PHI,9.00,4,4,1,1,1
Matt GayM. Gay,TB@IND,9.00,3,3,3,2,0
Wil LutzW. Lutz,CLE@DEN,9.00,3,3,2,2,0
Jason MyersJ. Myers,SF@SEA,9.00,1,1,3,2,1
Chase McLaughlinC. McLaughlin,TB@IND,8.00,2,2,2,2,0
Justin TuckerJ. Tucker,BAL@LAC,8.00,2,2,3,2,0
Harrison ButkerH. Butker,KC@LV,7.00,4,4,1,1,0
Nick FolkN. Folk,CAR@TEN,7.00,2,2,1,1,1
Lucas HavrisikL. Havrisik,LA@ARI,7.00,5,4,2,1,0
Jake MoodyJ. Moody,SF@SEA,7.00,4,4,1,1,0
Dustin HopkinsD. Hopkins,CLE@DEN,6.00,0,0,2,2,0
Younghoe KooY. Koo,NO@ATL,6.00,3,3,1,1,0
Eddy PineiroE. Pineiro,CAR@TEN,6.00,1,1,1,1,1
Anders CarlsonA. Carlson,GB@DET,5.00,3,2,2,1,0
Daniel CarlsonD. Carlson,KC@LV,5.00,2,2,2,1,0
Randy BullockR. Bullock,NE@NYG,4.00,1,1,1,1,0
Cameron DickerC. Dicker,BAL@LAC,4.00,1,1,1,1,0
Greg JosephG. Joseph,CHI@MIN,4.00,1,1,1,1,0
Evan McPhersonE. McPherson,PIT@CIN,4.00,1,1,1,1,0
Joey SlyeJ. Slye,WAS@DAL,4.00,1,1,1,1,0
Matt AmmendolaM. Ammendola,JAX@HOU,3.00,3,3,2,0,0
Chad RylandC. Ryland,NE@NYG,1.00,1,1,1,0,0
Greg ZuerleinG. Zuerlein,MIA@NYJ,1.00,2,1,0,0,0
Riley PattersonR. Patterson,GB@DET,0.00,1,0,0,0,0
Matt PraterM. Prater,LA@ARI,0.00,0,0,1,0,0
