Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Wil LutzDENW. LutzDEN,@ TB,14,2,2,4,4,0
Harrison ButkerKCH. ButkerKC,@ ATL,12,2,1,3,3,1
Brayden NarvesonTENB. NarvesonTEN,vs GB,12,3,3,3,3,0
Eddy PineiroCARE. PineiroCAR,@ LV,12,3,3,3,3,0
Will ReichardMINW. ReichardMIN,vs HOU,12,4,4,2,2,1
Brandon AubreyDALB. AubreyDAL,vs BAL,11,1,1,2,2,2
Tyler BassBUFT. BassBUF,vs JAX,11,6,5,2,2,0
Joshua KartyLAJ. KartyLA,vs SF,9,3,3,2,2,0
Evan McPhersonCINE. McPhersonCIN,vs WAS,9,3,3,3,2,0
Chris BoswellPITC. BoswellPIT,vs LAC,8,2,2,3,2,0
Jason MyersSEAJ. MyersSEA,vs MIA,8,3,3,2,1,1
Austin SeibertWASA. SeibertWAS,@ CIN,8,5,5,1,1,0
Younghoe KooATLY. KooATL,vs KC,7,2,2,1,1,1
Matt PraterARIM. PraterARI,vs DET,7,1,1,2,2,0
Blake GrupeNOB. GrupeNO,vs PHI,6,0,0,2,2,0
Jake MoodySFJ. MoodySF,@ LA,6,3,3,2,1,0
Cairo SantosCHIC. SantosCHI,@ IND,6,1,1,2,1,1
Greg ZuerleinNYJG. ZuerleinNYJ,vs NE,6,3,3,2,1,0
Cameron DickerLACC. DickerLAC,@ PIT,4,1,1,1,1,0
Cam LittleJAXC. LittleJAX,@ BUF,4,1,1,1,1,0
Justin TuckerBALJ. TuckerBAL,@ DAL,4,4,4,1,0,0
Matt GayINDM. GayIND,vs CHI,3,3,3,0,0,0
Greg JosephNYJG. JosephNYJ,@ CLE,3,3,3,1,0,0
Jason SandersMIAJ. SandersMIA,@ SEA,3,0,0,2,1,0
Joey SlyeNEJ. SlyeNE,@ NYJ,3,0,0,1,1,0
Jake BatesDETJ. BatesDET,@ ARI,2,3,2,0,0,0
Daniel CarlsonLVD. CarlsonLV,vs CAR,2,2,2,1,0,0
Nick FolkTENN. FolkTEN,vs GB,2,2,2,0,0,0
Jake ElliottPHIJ. ElliottPHI,@ NO,1,1,1,1,0,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ MIN,1,1,1,1,0,0
Dustin HopkinsCLED. HopkinsCLE,vs NYG,1,1,1,1,0,0
Chase McLaughlinTBC. McLaughlinTB,vs DEN,1,1,1,0,0,0
