Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New England PatriotsNE,IND@NE,29.00,9.0,1,0,0,1,1,3,43,78,121
Detroit LionsDET,GB@DET,14.00,1.0,3,0,0,0,0,9,283,106,389
Baltimore RavensBAL,BAL@NO,13.00,4.0,1,0,0,0,0,13,195,48,243
New York JetsNYJ,BUF@NYJ,13.00,5.0,2,0,0,0,0,17,183,134,317
Tampa Bay BuccaneersTB,LA@TB,11.00,4.0,0,0,0,0,0,13,138,68,206
Philadelphia EaglesPHI,PHI@HOU,11.00,3.0,2,0,0,0,0,17,135,168,303
Arizona CardinalsARI,SEA@ARI,10.00,2.0,1,0,0,0,1,31,263,158,421
Tennessee TitansTEN,TEN@KC,10.00,4.0,1,0,0,0,0,20,422,77,499
Los Angeles ChargersLAC,LAC@ATL,10.00,2.0,0,0,2,0,0,17,114,201,315
Miami DolphinsMIA,MIA@CHI,10.00,2.0,0,0,0,1,1,32,116,252,368
Minnesota VikingsMIN,MIN@WAS,9.00,3.0,1,0,0,0,0,17,126,137,263
Washington CommandersWAS,MIN@WAS,8.00,2.0,1,0,0,0,0,20,245,56,301
Seattle SeahawksSEA,SEA@ARI,8.00,5.0,0,0,1,0,0,21,140,122,262
Jacksonville JaguarsJAX,LV@JAX,8.00,2.0,0,0,1,0,0,20,248,73,321
Buffalo BillsBUF,BUF@NYJ,8.00,2.0,0,0,1,0,0,20,136,174,310
Atlanta FalconsATL,LAC@ATL,8.00,0.0,1,0,1,0,0,20,245,91,336
Kansas City ChiefsKC,TEN@KC,7.00,3.0,0,0,0,0,0,17,57,172,229
Indianapolis ColtsIND,IND@NE,7.00,4.0,0,0,1,0,0,26,133,70,203
Cincinnati BengalsCIN,CAR@CIN,7.00,0.0,2,0,1,0,0,21,164,64,228
Los Angeles RamsLA,LA@TB,7.00,1.0,0,0,0,1,0,16,272,51,323
Houston TexansHOU,PHI@HOU,6.00,4.0,0,0,1,0,0,29,217,143,360
Green Bay PackersGB,GB@DET,6.00,0.0,1,0,0,0,0,15,137,117,254
New Orleans SaintsNO,BAL@NO,4.00,3.0,0,0,0,0,0,27,131,188,319
Las Vegas RaidersLV,LV@JAX,3.00,0.0,0,0,1,0,0,27,235,168,403
Carolina PanthersCAR,CAR@CIN,2.00,2.0,0,0,0,0,0,42,223,241,464
Chicago BearsCHI,MIA@CHI,0.00,0.0,0,0,0,0,0,35,302,77,379
