Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Tyler BassBUFT. BassBUF,@ NYJ,20,0,0,8,6,1
Matt PraterDETM. PraterDET,@ ATL,15,2,2,4,3,2
Harrison ButkerKCH. ButkerKC,@ DEN,13,5,4,3,3,0
Zane GonzalezARIZ. GonzalezARI,vs SEA,13,4,4,4,3,0
Randy BullockCINR. BullockCIN,vs CLE,10,4,4,2,2,0
Jason MyersSEAJ. MyersSEA,@ ARI,10,4,4,2,2,0
Michael BadgleyLACM. BadgleyLAC,vs JAX,9,4,3,3,2,0
Chris BoswellPITC. BoswellPIT,@ TEN,9,3,3,2,2,0
Robbie GouldSFR. GouldSF,@ NE,9,4,3,2,2,0
Wil LutzNOW. LutzNO,vs CAR,9,3,3,2,2,0
Ryan SuccopTBR. SuccopTB,@ LV,9,6,6,1,1,0
Daniel CarlsonLVD. CarlsonLV,vs TB,8,2,2,2,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs GB,8,2,2,3,2,0
Stephen GostkowskiTENS. GostkowskiTEN,vs PIT,8,3,3,2,1,1
Cody ParkeyCLEC. ParkeyCLE,@ CIN,7,5,4,1,1,0
Nick FolkNEN. FolkNE,vs SF,6,0,0,2,2,0
Samuel SlomanTENS. SlomanTEN,@ LA,6,3,3,2,1,0
Joey SlyeCARJ. SlyeCAR,@ NO,6,3,3,2,1,0
Mason CrosbyGBM. CrosbyGB,@ HOU,5,5,5,0,0,0
Dustin HopkinsWASD. HopkinsWAS,vs DAL,5,2,2,2,1,0
Sergio CastilloNYJS. CastilloNYJ,vs BUF,4,1,1,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs NYG,4,1,1,2,1,0
Brandon McManusDENB. McManusDEN,vs KC,4,2,1,1,1,0
Cairo SantosCHIC. SantosCHI,@ LA,4,1,1,1,1,0
Graham GanoNYGG. GanoNYG,@ PHI,3,3,3,0,0,0
Greg ZuerleinDALG. ZuerleinDAL,@ WAS,3,0,0,1,1,0
Younghoe KooATLY. KooATL,vs DET,2,2,2,0,0,0
Josh LamboJAXJ. LamboJAX,@ LAC,1,1,1,0,0,0
