Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Daniel CarlsonLVD. CarlsonLV,@ DAL,20,3,3,5,5,1
Nick FolkNEN. FolkNE,vs TEN,20,3,3,6,5,1
Evan McPhersonCINE. McPhersonCIN,vs PIT,13,5,5,2,2,1
Mason CrosbyGBM. CrosbyGB,vs LA,12,3,3,4,3,0
Justin TuckerBALJ. TuckerBAL,vs CLE,12,1,1,3,3,1
Robbie GouldSFR. GouldSF,vs MIN,10,4,4,3,2,0
Cairo SantosCHIC. SantosCHI,@ DET,10,1,1,4,3,0
Jason SandersMIAJ. SandersMIA,vs CAR,9,4,3,2,2,0
Matt GayLAM. GayLA,@ GB,8,2,2,2,2,0
Ryan SuccopTBR. SuccopTB,@ IND,8,5,5,1,1,0
Matt AmmendolaNYJM. AmmendolaNYJ,@ HOU,7,1,1,3,2,0
Michael BadgleyINDM. BadgleyIND,vs TB,7,4,4,1,1,0
Tyler BassBUFT. BassBUF,@ NO,7,4,4,1,1,0
Graham GanoNYGG. GanoNYG,vs PHI,7,1,1,3,2,0
Greg ZuerleinDALG. ZuerleinDAL,vs LV,7,2,1,3,2,0
Matthew WrightJAXM. WrightJAX,vs ATL,6,0,0,2,2,0
Chris BoswellPITC. BoswellPIT,@ CIN,4,1,1,1,1,0
Zane GonzalezCARZ. GonzalezCAR,@ MIA,4,1,1,1,1,0
Chase McLaughlinCLEC. McLaughlinCLE,@ BAL,4,1,1,2,1,0
Brandon McManusDENB. McManusDEN,vs LAC,4,4,4,0,0,0
Younghoe KooATLY. KooATL,@ JAX,3,3,3,0,0,0
Joey SlyeWASJ. SlyeWAS,vs SEA,3,1,0,1,1,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs NYJ,2,2,2,1,0,0
Greg JosephMING. JosephMIN,@ SF,2,3,2,0,0,0
Riley PattersonDETR. PattersonDET,vs CHI,2,2,2,0,0,0
Randy BullockTENR. BullockTEN,@ NE,1,2,1,1,0,0
Jake ElliottPHIJ. ElliottPHI,@ NYG,1,1,1,0,0,0
Dustin HopkinsLACD. HopkinsLAC,@ DEN,1,1,1,1,0,0
Jason MyersSEAJ. MyersSEA,@ WAS,1,1,1,0,0,0
