Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Cleveland BrownsCleveland,vs PHI,23,5.0,2,1,1,0,1,17,209,106,315
Pittsburgh SteelersPittsburgh,@ JAX,20,2.0,4,0,0,0,0,3,133,73,206
New Orleans SaintsNew Orleans,vs ATL,19,8.0,2,0,0,0,0,9,196,52,248
Carolina PanthersCarolina,vs DET,17,5.0,0,0,1,0,0,0,145,40,185
Washington Football TeamWashington,vs CIN,15,4.0,1,0,1,0,0,9,202,70,272
Denver BroncosDenver,vs MIA,15,6.0,1,0,0,0,0,13,167,56,223
Los Angeles ChargersLA Chargers,vs NYJ,9,1.0,1,0,0,0,1,28,196,96,292
Detroit LionsDetroit,@ CAR,9,1.0,2,0,0,0,0,20,258,116,374
New York JetsNY Jets,@ LAC,9,3.0,0,1,1,1,0,34,347,29,376
Indianapolis ColtsIndianapolis,vs GB,9,1.0,1,0,3,0,0,31,301,66,367
Miami DolphinsMiami,@ DEN,8,0.0,1,0,1,0,0,20,270,189,459
Philadelphia EaglesPhiladelphia,@ CLE,8,3.0,0,0,1,1,0,22,187,137,324
Cincinnati BengalsCincinnati,@ WAS,8,2.0,1,0,0,0,0,20,161,164,325
Houston TexansHouston,vs NE,6,2.0,0,0,0,0,0,20,349,86,435
Dallas CowboysDallas,@ MIN,6,2.0,0,0,2,0,0,28,305,125,430
Seattle SeahawksSeattle,vs ARI,6,3.0,0,1,0,0,0,21,257,57,314
Los Angeles RamsLA Rams,@ TB,6,1.0,2,0,0,0,0,24,209,42,251
Atlanta FalconsAtlanta,@ NO,6,3.0,0,0,1,0,0,24,210,166,376
Minnesota VikingsMinnesota,vs DAL,5,1.0,1,0,0,1,0,31,196,180,376
Green Bay PackersGreen Bay,@ IND,5,1.0,1,0,1,0,0,34,280,140,420
Tampa Bay BuccaneersTampa Bay,vs LA,5,0.0,2,0,0,0,0,27,376,37,413
Baltimore RavensBaltimore,vs TEN,4,2.0,1,0,0,0,0,30,250,173,423
Tennessee TitansTennessee,@ BAL,4,1.0,1,0,0,0,0,24,177,129,306
Jacksonville JaguarsJacksonville,vs PIT,3,0.0,1,0,0,0,0,27,267,106,373
Arizona CardinalsArizona,@ SEA,3,3.0,0,0,0,0,0,28,182,165,347
Kansas City ChiefsKansas City,@ LV,2,0.0,1,0,0,0,0,31,275,89,364
Las Vegas RaidersLas Vegas,vs KC,2,0.0,1,0,0,0,0,35,352,108,460
New England PatriotsNew England,@ HOU,1,0.0,0,0,0,0,0,27,344,55,399
