Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Cairo SantosC. Santos,CHI@NE,17.00,3,3,4,4,1
Jason MyersJ. Myers,SEA@LAC,15.00,4,4,3,3,1
Randy BullockR. Bullock,IND@TEN,13.00,1,1,4,4,0
Robbie GouldR. Gould,KC@SF,13.00,2,2,3,3,1
Justin TuckerJ. Tucker,CLE@BAL,13.00,2,2,3,3,1
Graham GanoG. Gano,NYG@JAX,11.00,2,2,3,3,0
Joey SlyeJ. Slye,GB@WAS,11.00,2,2,4,3,0
Rodrigo BlankenshipR. Blankenship,NO@ARI,10.00,3,2,2,2,1
Daniel CarlsonD. Carlson,HOU@LV,10.00,5,5,1,1,1
Ka'imi FairbairnK. Fairbairn,HOU@LV,10.00,2,2,3,2,1
Wil LutzW. Lutz,NO@ARI,10.00,4,4,2,2,0
Jason SandersJ. Sanders,PIT@MIA,10.00,1,1,3,3,0
Greg ZuerleinG. Zuerlein,NYJ@DEN,10.00,1,1,3,3,0
Michael BadgleyM. Badgley,DET@DAL,8.00,0,0,2,2,1
Cade YorkC. York,CLE@BAL,8.00,2,2,3,2,0
Harrison ButkerH. Butker,KC@SF,6.00,6,6,1,0,0
Brett MaherB. Maher,DET@DAL,6.00,3,3,1,1,0
Chase McLaughlinC. McLaughlin,IND@TEN,6.00,1,1,1,1,1
Younghoe KooY. Koo,ATL@CIN,5.00,2,2,1,1,0
Evan McPhersonE. McPherson,ATL@CIN,5.00,5,5,0,0,0
Chris BoswellC. Boswell,PIT@MIA,4.00,1,1,1,1,0
Taylor BertoletT. Bertolet,SEA@LAC,3.00,3,3,0,0,0
Mason CrosbyM. Crosby,GB@WAS,3.00,3,3,0,0,0
Brandon McManusB. McManus,NYJ@DEN,3.00,1,0,2,1,0
Riley PattersonR. Patterson,NYG@JAX,3.00,1,0,1,1,0
Eddy PineiroE. Pineiro,TB@CAR,3.00,3,3,0,0,0
Ryan SuccopR. Succop,TB@CAR,3.00,0,0,1,1,0
Nick FolkN. Folk,CHI@NE,2.00,2,2,0,0,0
