Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New York GiantsNY Giants,@ SEA,21,7.0,0,0,1,1,1,20,231,102,333
Denver BroncosDenver,vs LV,19,3.0,3,0,0,0,1,18,215,115,330
Minnesota VikingsMinnesota,vs NYJ,19,3.0,3,0,0,0,1,17,218,36,254
Chicago BearsChicago,vs CAR,17,4.0,1,0,2,0,0,10,172,120,292
Washington CommandersWashington,vs CLE,16,7.0,0,0,1,0,0,13,108,104,212
Pittsburgh SteelersPittsburgh,vs DAL,14,2.0,2,0,1,1,0,20,336,109,445
New England PatriotsNew England,vs MIA,13,3.0,1,0,1,1,0,15,179,193,372
Green Bay PackersGreen Bay,@ LA,13,3.0,1,0,1,1,0,19,236,134,370
San Francisco 49ersSan Francisco,vs ARI,12,1.0,1,0,0,1,1,24,189,169,358
Los Angeles RamsLA Rams,vs GB,11,2.0,1,0,0,0,1,24,202,126,328
Seattle SeahawksSeattle,vs NYG,11,3.0,0,0,1,0,1,29,245,175,420
Kansas City ChiefsKansas City,vs NO,10,1.0,1,0,0,0,0,13,174,46,220
Arizona CardinalsArizona,@ SF,9,2.0,2,0,1,0,0,23,231,153,384
Miami DolphinsMiami,@ NE,9,2.0,0,0,0,0,0,10,148,151,299
Dallas CowboysDallas,@ PIT,9,3.0,0,0,1,0,0,17,134,92,226
New York JetsNY Jets,@ MIN,9,4.0,1,0,1,0,0,23,171,82,253
Tampa Bay BuccaneersTampa Bay,@ ATL,8,4.0,1,0,0,1,0,36,477,73,550
Cleveland BrownsCleveland,@ WAS,7,3.0,1,0,1,0,0,34,219,215,434
Jacksonville JaguarsJacksonville,vs IND,6,4.0,0,0,1,0,0,34,348,99,447
Buffalo BillsBuffalo,@ HOU,6,1.0,1,0,1,0,0,23,331,94,425
Houston TexansHouston,vs BUF,5,1.0,0,0,0,0,0,20,126,150,276
New Orleans SaintsNew Orleans,@ KC,5,2.0,1,0,0,0,0,26,321,139,460
Cincinnati BengalsCincinnati,vs BAL,5,1.0,0,1,1,0,0,41,345,175,520
Baltimore RavensBaltimore,@ CIN,5,3.0,1,0,0,0,0,38,371,71,442
Indianapolis ColtsIndianapolis,@ JAX,4,0.0,1,0,1,0,0,37,371,126,497
Las Vegas RaidersLas Vegas,@ DEN,3,3.0,0,0,0,0,0,34,180,109,289
Atlanta FalconsAtlanta,vs TB,3,1.0,0,0,1,0,0,30,173,160,333
Carolina PanthersCarolina,@ CHI,1,1.0,0,0,0,0,0,36,296,128,424
