Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Patrick MahomesP. Mahomes,KC@LV,46.00,50,35,406,5,0,0,0,0,0,0,0,0,0,0,0,0
Dak PrescottD. Prescott,ATL@DAL,29.00,31,24,296,2,0,0,2,5,1,0,0,0,0,0,0,0
Mac JonesM. Jones,CLE@NE,25.00,23,19,198,3,0,0,0,0,0,0,0,0,0,0,0,0
Josh AllenJ. Allen,BUF@NYJ,24.00,28,21,366,2,1,0,2,3,0,0,0,0,0,0,0,0
AJ DillonA. Dillon,SEA@GB,24.00,0,0,0,0,0,0,21,66,2,0,2,62,0,0,0,0
Deebo SamuelD. Samuel,LA@SF,24.00,0,0,0,0,0,0,5,36,1,0,5,97,1,0,0,0
Trevor SiemianT. Siemian,NO@TEN,23.00,34,19,298,2,0,0,0,0,0,0,0,0,0,0,0,0
Rhamondre StevensonR. Stevenson,CLE@NE,23.00,0,0,0,0,0,0,20,100,2,0,4,14,0,0,0,0
Kirk CousinsK. Cousins,MIN@LAC,22.00,37,25,294,2,0,0,4,-3,0,0,0,0,0,0,1,0
Stefon DiggsS. Diggs,BUF@NYJ,22.00,0,0,0,0,0,0,0,0,0,0,8,162,1,0,0,0
Jalen HurtsJ. Hurts,PHI@DEN,22.00,23,16,178,2,1,0,13,55,0,0,0,0,0,0,0,0
CeeDee LambC. Lamb,ATL@DAL,22.00,0,0,0,0,0,0,1,12,0,0,6,94,2,0,0,0
Derek CarrD. Carr,KC@LV,21.00,35,25,261,2,1,0,3,18,0,0,0,0,0,0,0,0
Tyreek HillT. Hill,KC@LV,20.00,0,0,0,0,0,0,1,2,0,0,7,83,2,0,0,0
Ryan TannehillR. Tannehill,NO@TEN,20.00,27,19,213,1,0,0,5,1,1,0,0,0,0,0,0,0
Darrel WilliamsD. Williams,KC@LV,20.00,0,0,0,0,0,0,11,43,0,0,9,101,1,0,0,0
Kendrick BourneK. Bourne,CLE@NE,19.00,0,0,0,0,0,0,3,43,0,0,4,98,1,0,0,0
Jimmy GaroppoloJ. Garoppolo,LA@SF,19.00,19,15,182,2,0,0,2,1,0,0,0,0,0,0,0,0
Antonio GibsonA. Gibson,TB@WAS,19.00,0,0,0,0,0,0,24,64,2,0,2,14,0,0,0,0
Ezekiel ElliottE. Elliott,ATL@DAL,18.00,1,1,4,0,0,0,14,41,2,1,3,15,0,0,1,0
DeVonta SmithD. Smith,PHI@DEN,18.00,0,0,0,0,0,0,0,0,0,0,4,66,2,0,0,0
Jonathan TaylorJ. Taylor,JAX@IND,18.00,0,0,0,0,0,0,21,116,1,0,6,10,0,0,0,0
Dalvin CookD. Cook,MIN@LAC,17.00,0,0,0,0,0,0,24,94,1,0,3,24,0,0,0,0
Taylor HeinickeT. Heinicke,TB@WAS,17.00,32,26,256,1,0,0,3,15,0,0,0,0,0,0,0,0
