Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Tyler BassBUFT. BassBUF,vs SEA,14,5,5,4,3,0
Nick FolkNEN. FolkNE,@ NYJ,14,3,3,3,3,1
Jason SandersMIAJ. SandersMIA,@ ARI,14,4,4,2,2,2
Greg ZuerleinDALG. ZuerleinDAL,vs PIT,13,1,1,4,4,0
Mason CrosbyGBM. CrosbyGB,@ SF,12,4,4,2,2,1
Younghoe KooATLY. KooATL,vs DEN,12,4,4,2,2,1
Harrison ButkerKCH. ButkerKC,vs CAR,11,4,3,3,2,1
Sergio CastilloNYJS. CastilloNYJ,vs NE,11,3,3,2,2,1
Ka'imi FairbairnHOUK. FairbairnHOU,@ JAX,11,3,3,2,2,1
Graham GanoNYGG. GanoNYG,@ WAS,11,2,2,3,3,0
Jason MyersSEAJ. MyersSEA,@ BUF,10,4,4,2,2,0
Josh LamboJAXJ. LamboJAX,vs HOU,9,2,1,2,2,1
Brandon McManusDENB. McManusDEN,@ ATL,9,3,3,2,2,0
Michael BadgleyLACM. BadgleyLAC,vs LV,8,2,2,3,2,0
Chris BoswellPITC. BoswellPIT,@ DAL,8,2,0,2,2,1
Dustin HopkinsWASD. HopkinsWAS,vs NYG,8,2,2,2,2,0
Wil LutzNOW. LutzNO,@ TB,8,5,5,1,1,0
Matt PraterDETM. PraterDET,@ MIN,8,2,2,3,2,0
Daniel CarlsonLVD. CarlsonLV,@ LAC,7,4,4,1,1,0
Zane GonzalezARIZ. GonzalezARI,vs MIA,7,4,4,2,1,0
Joey SlyeCARJ. SlyeCAR,@ KC,7,4,4,3,1,0
Stephen GostkowskiTENS. GostkowskiTEN,vs CHI,6,3,3,1,1,0
Justin TuckerBALJ. TuckerBAL,@ IND,6,3,3,1,1,0
Robbie GouldSFR. GouldSF,vs GB,5,2,2,1,1,0
Cairo SantosCHIC. SantosCHI,@ TEN,5,2,2,1,1,0
Dan BaileyMIND. BaileyMIN,vs DET,4,5,4,0,0,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs BAL,4,1,1,1,1,0
Ryan SuccopTBR. SuccopTB,vs NO,3,0,0,1,1,0
