Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Justin TuckerJ. Tucker,BAL@JAX,15.00,1,1,5,4,1
Harrison ButkerH. Butker,LA@KC,14.00,2,2,4,4,0
Nick FolkN. Folk,NE@MIN,14.00,2,2,4,4,0
Jake ElliottJ. Elliott,GB@PHI,12.00,5,4,2,2,1
Jason SandersJ. Sanders,HOU@MIA,12.00,3,3,3,3,0
Matthew WrightM. Wright,PIT@IND,12.00,1,1,3,3,1
Eddy PineiroE. Pineiro,DEN@CAR,11.00,2,2,3,3,0
Daniel CarlsonD. Carlson,LV@SEA,10.00,4,4,3,2,0
Graham GanoG. Gano,NYG@DAL,10.00,2,2,2,2,1
Jason MyersJ. Myers,LV@SEA,10.00,4,4,2,2,0
Caleb ShudakC. Shudak,CIN@TEN,10.00,1,1,4,3,0
Mason CrosbyM. Crosby,GB@PHI,9.00,4,3,2,2,0
Greg JosephG. Joseph,NE@MIN,9.00,4,3,2,2,0
Greg ZuerleinG. Zuerlein,CHI@NYJ,9.00,4,4,2,1,1
Tyler BassT. Bass,BUF@DET,8.00,3,2,2,2,0
Evan McPhersonE. McPherson,CIN@TEN,8.00,2,2,2,2,0
Riley PattersonR. Patterson,BAL@JAX,8.00,2,2,2,2,0
Michael BadgleyM. Badgley,BUF@DET,7.00,2,2,2,1,1
Robbie GouldR. Gould,NO@SF,7.00,1,1,2,2,0
Younghoe KooY. Koo,ATL@WAS,7.00,1,1,3,2,0
Chase McLaughlinC. McLaughlin,PIT@IND,7.00,2,2,2,1,1
Joey SlyeJ. Slye,ATL@WAS,7.00,2,1,2,2,0
Cade YorkC. York,TB@CLE,7.00,2,2,2,1,1
Matt PraterM. Prater,LAC@ARI,6.00,3,3,2,1,0
Cameron DickerC. Dicker,LAC@ARI,5.00,2,2,1,1,0
Ryan SuccopR. Succop,TB@CLE,5.00,2,2,1,1,0
Matt GayM. Gay,LA@KC,4.00,1,1,1,1,0
Brett MaherB. Maher,NYG@DAL,4.00,4,4,1,0,0
Brandon McManusB. McManus,DEN@CAR,4.00,1,1,2,1,0
Cairo SantosC. Santos,CHI@NYJ,4.00,1,1,1,1,0
Ka'imi FairbairnK. Fairbairn,HOU@MIA,3.00,0,0,1,1,0
Wil LutzW. Lutz,NO@SF,0.00,0,0,1,0,0
