Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Brandon AubreyDALB. AubreyDAL,vs TB,20,2,2,4,4,3
Jason SandersMIAJ. SandersMIA,vs SF,19,2,2,5,5,1
Jake ElliottPHIJ. ElliottPHI,@ WAS,17,3,3,5,4,1
Chad RylandARIC. RylandARI,@ CAR,14,3,3,3,3,1
Brandon McManusGBB. McManusGB,vs NO,12,4,4,2,2,1
Riley PattersonATLR. PattersonATL,vs NYG,12,4,4,3,2,1
Justin TuckerBALJ. TuckerBAL,vs PIT,12,4,4,2,2,1
Wil LutzDENW. LutzDEN,@ LAC,11,3,3,2,2,1
Will ReichardMINW. ReichardMIN,@ SEA,11,3,3,2,2,1
Jake BatesDETJ. BatesDET,@ CHI,10,4,4,3,2,0
Cameron DickerLACC. DickerLAC,vs DEN,10,2,2,2,2,1
Harrison ButkerKCH. ButkerKC,vs HOU,9,3,3,2,2,0
Tyler BassBUFT. BassBUF,vs NE,8,3,3,1,1,1
Matt GayINDM. GayIND,vs TEN,8,5,5,2,1,0
Cade YorkCINC. YorkCIN,vs CLE,8,3,3,2,1,1
Chris BoswellPITC. BoswellPIT,@ BAL,7,2,2,1,1,1
Daniel CarlsonLVD. CarlsonLV,vs JAX,7,1,1,3,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,@ KC,7,2,1,2,2,0
Joshua KartyLAJ. KartyLA,@ NYJ,7,2,1,2,2,0
Chase McLaughlinTBC. McLaughlinTB,@ DAL,6,3,3,1,1,0
Jason MyersSEAJ. MyersSEA,vs MIN,6,3,3,2,1,0
Eddy PineiroCARE. PineiroCAR,vs ARI,6,4,3,1,1,0
Jake MoodySFJ. MoodySF,@ MIA,5,2,2,2,1,0
Cairo SantosCHIC. SantosCHI,vs DET,5,2,2,1,1,0
Zane GonzalezWASZ. GonzalezWAS,vs PHI,4,4,4,0,0,0
Anders CarlsonNYJA. CarlsonNYJ,vs LA,3,1,0,2,1,0
Joey SlyeNEJ. SlyeNE,@ BUF,3,3,3,0,0,0
Cam LittleJAXC. LittleJAX,@ LV,2,2,2,0,0,0
Brayden NarvesonTENB. NarvesonTEN,@ IND,2,2,2,1,0,0
Graham GanoNYGG. GanoNYG,@ ATL,1,1,1,0,0,0
Dustin HopkinsCLED. HopkinsCLE,@ CIN,0,1,0,0,0,0
