Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Kansas City ChiefsKansas City,vs NE,23,2.0,3,0,1,0,1,10,172,185,357
Philadelphia EaglesPhiladelphia,@ SF,21,5.0,2,0,1,0,1,20,301,116,417
Los Angeles RamsLA Rams,vs NYG,14,5.0,1,0,0,0,0,9,159,136,295
New York JetsNY Jets,vs DEN,12,0.0,3,0,0,0,1,37,242,117,359
Indianapolis ColtsIndianapolis,@ CHI,10,1.0,1,0,0,0,0,11,241,28,269
Baltimore RavensBaltimore,@ WAS,9,3.0,0,0,1,0,0,17,274,69,343
Cleveland BrownsCleveland,@ DAL,9,3.0,1,0,2,0,0,38,481,85,566
New York GiantsNY Giants,@ LA,8,2.0,0,0,1,0,0,17,182,58,240
Los Angeles ChargersLA Chargers,@ TB,8,0.0,1,0,0,0,1,38,369,115,484
Green Bay PackersGreen Bay,vs ATL,8,4.0,0,0,0,0,0,16,249,78,327
Buffalo BillsBuffalo,@ LV,7,2.0,0,0,2,0,0,23,297,86,383
Tampa Bay BuccaneersTampa Bay,vs LAC,6,2.0,1,0,1,0,0,31,278,46,324
Minnesota VikingsMinnesota,@ HOU,6,3.0,0,0,1,0,0,23,290,96,386
Denver BroncosDenver,@ NYJ,6,6.0,0,0,0,0,0,28,192,129,321
San Francisco 49ersSan Francisco,vs PHI,6,3.0,1,0,0,0,0,25,174,93,267
Cincinnati BengalsCincinnati,vs JAX,6,3.0,1,0,0,0,0,25,340,89,429
Seattle SeahawksSeattle,@ MIA,6,1.0,2,0,0,0,0,23,312,103,415
Washington Football TeamWashington,vs BAL,5,1.0,2,0,0,0,0,31,206,144,350
New Orleans SaintsNew Orleans,@ DET,5,3.0,1,0,0,0,0,29,191,90,281
Chicago BearsChicago,vs IND,5,1.0,0,0,0,0,0,19,186,103,289
New England PatriotsNew England,@ KC,4,1.0,0,0,1,0,0,26,229,94,323
Miami DolphinsMiami,vs SEA,4,2.0,1,0,0,0,0,31,343,98,441
Detroit LionsDetroit,vs NO,4,2.0,1,0,0,0,0,35,228,164,392
Carolina PanthersCarolina,vs ARI,4,1.0,0,0,1,0,0,21,133,129,262
Jacksonville JaguarsJacksonville,@ CIN,3,1.0,1,0,0,0,0,33,300,205,505
Houston TexansHouston,vs MIN,3,3.0,0,0,0,0,0,31,248,162,410
Dallas CowboysDallas,vs CLE,2,2.0,0,0,0,0,0,49,201,307,508
Arizona CardinalsArizona,@ CAR,2,0.0,1,0,0,0,0,31,276,168,444
Las Vegas RaidersLas Vegas,vs BUF,1,1.0,0,0,0,0,0,30,274,63,337
Atlanta FalconsAtlanta,@ GB,1,1.0,0,0,0,0,0,30,315,88,403
