Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Los Angeles RamsLA Rams,@ SEA,25,7.0,3,0,0,1,1,20,317,107,424
Los Angeles ChargersLA Chargers,@ CLE,21,6.0,3,0,0,1,0,10,213,79,292
New York JetsNY Jets,vs HOU,17,8.0,0,0,1,0,0,13,135,187,322
Indianapolis ColtsIndianapolis,@ MIN,17,4.0,2,0,1,0,1,21,282,133,415
Arizona CardinalsArizona,vs CHI,15,6.0,0,1,0,0,0,9,172,69,241
Tennessee TitansTennessee,vs NE,14,4.0,2,0,1,0,0,17,185,110,295
Minnesota VikingsMinnesota,vs IND,14,3.0,1,0,1,0,0,13,159,68,227
Baltimore RavensBaltimore,vs DEN,13,4.0,1,0,0,0,0,10,197,122,319
Detroit LionsDetroit,@ GB,12,0.0,1,0,0,0,1,14,273,138,411
Jacksonville JaguarsJacksonville,@ PHI,11,3.0,0,0,1,0,1,28,210,237,447
Cincinnati BengalsCincinnati,vs LV,10,5.0,0,0,2,0,0,24,157,60,217
Las Vegas RaidersLas Vegas,@ CIN,9,1.0,1,0,0,0,1,41,243,130,373
Philadelphia EaglesPhiladelphia,vs JAX,9,2.0,2,0,1,0,0,23,155,60,215
Chicago BearsChicago,@ ARI,7,3.0,0,0,2,0,0,29,137,213,350
New England PatriotsNew England,@ TEN,7,1.0,1,0,0,0,0,20,233,167,400
Cleveland BrownsCleveland,vs LAC,7,6.0,0,0,0,0,0,27,246,96,342
Tampa Bay BuccaneersTampa Bay,@ KC,6,4.0,0,0,1,0,0,30,260,124,384
Seattle SeahawksSeattle,vs LA,5,0.0,1,0,0,1,0,26,298,68,366
Houston TexansHouston,@ NYJ,5,2.0,0,0,1,0,0,21,193,100,293
Washington CommandersWashington,@ NYG,5,2.0,0,0,1,0,0,22,162,164,326
Dallas CowboysDallas,@ ATL,5,2.0,0,0,1,0,0,27,210,100,310
Atlanta FalconsAtlanta,vs DAL,4,3.0,0,0,0,0,0,21,241,137,378
New Orleans SaintsNew Orleans,@ CAR,4,1.0,1,0,0,0,0,23,166,80,246
Buffalo BillsBuffalo,vs MIA,4,1.0,0,0,1,0,0,27,224,149,373
Miami DolphinsMiami,@ BUF,3,1.0,1,0,0,0,0,30,231,94,325
Kansas City ChiefsKansas City,vs TB,3,2.0,0,0,0,0,0,24,189,95,284
Green Bay PackersGreen Bay,vs DET,2,1.0,0,0,0,0,0,24,137,124,261
Carolina PanthersCarolina,vs NO,2,1.0,0,0,0,0,0,22,230,197,427
New York GiantsNY Giants,vs WAS,1,0.0,0,0,0,0,0,27,209,149,358
Denver BroncosDenver,@ BAL,1,1.0,0,0,0,0,0,41,269,127,396
