Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Younghoe KooATLY. KooATL,@ DAL,15,3,3,4,4,0
Justin TuckerBALJ. TuckerBAL,@ HOU,15,3,3,4,4,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs MIN,14,2,2,4,4,0
Harrison ButkerKCH. ButkerKC,@ LAC,13,1,0,3,3,2
Randy BullockCINR. BullockCIN,@ CLE,12,3,3,3,3,0
Daniel CarlsonLVD. CarlsonLV,vs NO,12,4,4,2,2,1
Zane GonzalezARIZ. GonzalezARI,vs WAS,12,3,3,3,3,0
Stephen GostkowskiTENS. GostkowskiTEN,vs JAX,11,4,3,2,2,1
Mason CrosbyGBM. CrosbyGB,vs DET,10,4,4,2,2,0
Ka'imi FairbairnHOUK. FairbairnHOU,vs BAL,10,1,1,3,3,0
Jason SandersMIAJ. SandersMIA,vs BUF,10,2,2,2,2,1
Greg ZuerleinDALG. ZuerleinDAL,vs ATL,10,4,4,2,2,0
Michael BadgleyLACM. BadgleyLAC,vs KC,8,2,2,2,2,0
Tyler BassBUFT. BassBUF,@ MIA,7,4,4,1,1,0
Jake ElliottPHIJ. ElliottPHI,vs LA,7,1,1,2,2,0
Sam FickenNYJS. FickenNYJ,vs SF,7,1,1,2,2,0
Graham GanoNYGG. GanoNYG,@ CHI,7,1,1,3,2,0
Robbie GouldSFR. GouldSF,@ NYJ,7,4,4,1,1,0
Brandon McManusDENB. McManusDEN,@ PIT,7,1,1,3,2,0
Samuel SlomanTENS. SlomanTEN,@ PHI,7,5,4,1,1,0
Ryan SuccopTBR. SuccopTB,vs CAR,7,4,4,1,1,0
Chris BoswellPITC. BoswellPIT,vs DEN,6,3,3,1,1,0
Nick FolkNEN. FolkNE,@ SEA,6,3,3,2,1,0
Josh LamboJAXJ. LamboJAX,@ TEN,6,4,3,1,1,0
Wil LutzNOW. LutzNO,@ LV,6,3,3,1,1,0
Jason MyersSEAJ. MyersSEA,vs NE,5,5,5,0,0,0
Cody ParkeyCLEC. ParkeyCLE,vs CIN,5,5,5,0,0,0
Cairo SantosCHIC. SantosCHI,vs NYG,5,2,2,2,1,0
Joey SlyeCARJ. SlyeCAR,@ TB,5,2,2,1,1,0
Dan BaileyMIND. BaileyMIN,@ IND,3,0,0,1,1,0
Dustin HopkinsWASD. HopkinsWAS,@ ARI,3,0,0,1,1,0
Matt PraterDETM. PraterDET,@ GB,3,3,3,1,0,0
