Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Sam HowellS. Howell,PHI@WAS,38.00,52,39,397,4,1,0,3,11,0,0,0,0,0,0,0,0
Jalen HurtsJ. Hurts,PHI@WAS,35.00,38,29,319,4,0,0,4,6,0,0,0,0,0,0,1,0
Dak PrescottD. Prescott,LA@DAL,35.00,31,25,304,4,1,0,4,19,0,0,0,0,0,0,0,0
Will LevisW. Levis,ATL@TEN,34.00,29,19,238,4,0,0,7,11,0,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,CIN@SF,33.00,32,28,283,3,0,0,6,43,0,0,0,0,0,0,0,0
Josh AllenJ. Allen,TB@BUF,32.00,40,31,324,2,1,0,7,41,1,0,0,0,0,0,0,0
DeAndre HopkinsD. Hopkins,ATL@TEN,30.00,0,0,0,0,0,0,0,0,0,0,4,128,3,0,0,0
Justin HerbertJ. Herbert,CHI@LAC,29.00,40,31,298,3,0,0,1,1,0,0,0,0,0,0,0,0
CeeDee LambC. Lamb,LA@DAL,28.00,0,0,0,0,0,0,1,12,0,0,12,158,2,0,0,0
Gus EdwardsG. Edwards,BAL@ARI,27.00,0,0,0,0,0,0,19,80,3,0,2,14,0,0,0,0
Tua TagovailoaT. Tagovailoa,NE@MIA,27.00,45,30,324,3,1,0,6,8,0,0,0,0,0,0,1,0
Joshua DobbsJ. Dobbs,BAL@ARI,26.00,37,25,208,2,2,0,6,26,1,1,0,0,0,0,0,0
A.J. BrownA. Brown,PHI@WAS,25.00,0,0,0,0,0,0,0,0,0,0,8,130,2,0,0,0
Jahmyr GibbsJ. Gibbs,LV@DET,24.00,0,0,0,0,0,0,26,152,1,0,5,37,0,0,0,0
Baker MayfieldB. Mayfield,TB@BUF,24.00,42,25,237,2,0,1,3,19,0,0,0,0,0,0,0,0
Russell WilsonR. Wilson,KC@DEN,24.00,19,12,114,3,0,0,8,30,0,0,0,0,0,0,1,0
Derek CarrD. Carr,NO@IND,23.00,27,19,310,2,0,0,1,-1,0,0,0,0,0,0,1,0
Christian McCaffreyC. McCaffrey,CIN@SF,23.00,0,0,0,0,0,0,12,54,1,0,6,64,1,0,0,0
