Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Buffalo BillsBuffalo,vs HOU,23,3.0,4,0,1,0,0,0,61,48,109
Baltimore RavensBaltimore,@ DEN,14,5.0,1,0,0,0,0,7,148,106,254
Tampa Bay BuccaneersTampa Bay,@ NE,12,4.0,1,0,1,0,0,17,295,-1,294
Chicago BearsChicago,vs DET,12,4.0,0,0,2,0,0,14,261,90,351
Indianapolis ColtsIndianapolis,@ MIA,11,3.0,0,0,2,0,0,17,168,35,203
Cleveland BrownsCleveland,@ MIN,11,2.0,1,0,0,0,0,7,190,65,255
Los Angeles ChargersLA Chargers,vs LV,10,4.0,1,0,0,0,0,14,165,48,213
Green Bay PackersGreen Bay,vs PIT,10,2.0,1,0,1,0,0,17,220,62,282
Dallas CowboysDallas,vs CAR,9,5.0,2,0,0,0,0,28,266,113,379
Arizona CardinalsArizona,@ LA,8,0.0,1,0,1,0,0,20,280,121,401
New York JetsNY Jets,vs TEN,8,7.0,0,0,0,0,0,24,253,177,430
Seattle SeahawksSeattle,@ SF,7,2.0,1,0,1,0,0,21,314,143,457
Washington Football TeamWashington,@ ATL,7,1.0,0,0,0,0,1,30,275,99,374
Minnesota VikingsMinnesota,vs CLE,7,3.0,0,0,0,0,0,14,143,184,327
Pittsburgh SteelersPittsburgh,@ GB,6,3.0,0,0,1,0,0,27,236,131,367
New England PatriotsNew England,vs TB,5,1.0,0,0,0,0,0,19,261,120,381
Miami DolphinsMiami,vs IND,5,2.0,0,0,1,0,0,27,210,139,349
Detroit LionsDetroit,@ CHI,4,1.0,1,0,0,0,0,24,185,188,373
Denver BroncosDenver,vs BAL,4,3.0,0,0,0,0,0,23,304,102,406
Tennessee TitansTennessee,@ NYJ,4,1.0,1,0,0,0,0,27,289,66,355
Kansas City ChiefsKansas City,@ PHI,3,3.0,0,0,0,0,0,30,358,103,461
New Orleans SaintsNew Orleans,vs NYG,3,0.0,1,0,0,0,0,27,402,83,485
New York GiantsNY Giants,@ NO,3,0.0,1,0,0,0,0,21,235,170,405
Houston TexansHouston,@ BUF,3,1.0,1,0,0,0,0,40,251,199,450
Philadelphia EaglesPhiladelphia,vs KC,3,1.0,1,0,0,0,0,42,271,200,471
San Francisco 49ersSan Francisco,vs SEA,3,3.0,0,0,0,0,0,28,129,105,234
Los Angeles RamsLA Rams,vs ARI,3,3.0,0,0,0,0,0,37,249,216,465
Jacksonville JaguarsJacksonville,@ CIN,2,1.0,0,0,0,0,0,24,342,78,420
Las Vegas RaidersLas Vegas,@ LAC,2,2.0,0,0,0,0,0,28,212,168,380
Cincinnati BengalsCincinnati,vs JAX,2,1.0,0,0,0,0,0,21,202,139,341
Atlanta FalconsAtlanta,vs WAS,1,1.0,0,0,0,0,0,34,290,122,412
Carolina PanthersCarolina,@ DAL,0,0.0,0,0,0,0,0,36,188,245,433
