Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jalen HurtsJ. Hurts,TEN@PHI,40.00,39,29,380,3,0,0,5,12,1,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,KC@CIN,33.00,31,25,286,2,0,0,11,46,1,0,0,0,0,0,0,0
Davante AdamsD. Adams,LAC@LV,29.00,0,0,0,0,0,0,0,0,0,0,8,177,2,0,0,0
Geno SmithG. Smith,SEA@LA,29.00,39,28,367,3,1,0,2,3,0,0,0,0,0,0,1,0
Jared GoffJ. Goff,JAX@DET,25.00,41,31,340,2,0,0,0,0,0,0,0,0,0,0,0,0
A.J. BrownA. Brown,TEN@PHI,23.00,0,0,0,0,0,0,0,0,0,0,8,119,2,0,0,0
Amon-Ra St. BrownA. St. Brown,JAX@DET,23.00,0,0,0,0,0,0,1,2,0,0,11,114,2,0,0,0
Taylor HeinickeT. Heinicke,WAS@NYG,22.00,41,27,275,2,0,0,2,6,0,0,0,0,0,0,1,0
Tony PollardT. Pollard,IND@DAL,22.00,0,0,0,0,0,0,12,91,2,0,2,15,0,0,0,0
Dak PrescottD. Prescott,IND@DAL,22.00,30,20,170,3,1,0,0,0,0,0,0,0,0,0,0,0
Josh AllenJ. Allen,BUF@NE,21.00,33,22,223,2,0,0,8,20,0,0,0,0,0,0,1,0
Tom BradyT. Brady,NO@TB,21.00,54,36,281,2,1,0,1,-1,0,0,0,0,0,0,0,0
Derek CarrD. Carr,LAC@LV,20.00,30,16,250,2,1,0,0,0,0,0,0,0,0,0,0,0
Tyreek HillT. Hill,MIA@SF,20.00,0,0,0,0,0,0,0,0,0,0,9,146,1,0,0,0
Daniel JonesD. Jones,WAS@NYG,20.00,31,25,200,1,0,0,12,71,0,0,0,0,0,0,1,0
Patrick MahomesP. Mahomes,KC@CIN,20.00,27,16,223,1,0,0,2,9,1,0,0,0,0,0,0,0
Christian McCaffreyC. McCaffrey,MIA@SF,20.00,0,0,0,0,0,0,17,66,0,0,8,80,1,0,0,0
Christian WatsonC. Watson,GB@CHI,20.00,0,0,0,0,0,0,1,46,1,0,3,48,1,0,0,0
Justin FieldsJ. Fields,GB@CHI,19.00,25,20,254,0,2,0,6,71,1,0,0,0,0,0,0,0
