Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Detroit LionsDetroit,vs TEN,19,1.0,2,0,2,0,1,14,258,158,416
Pittsburgh SteelersPittsburgh,vs NYG,18,4.0,1,0,1,0,1,18,237,157,394
Houston TexansHouston,vs IND,13,5.0,1,0,1,0,0,20,140,163,303
Buffalo BillsBuffalo,@ SEA,12,1.0,1,0,1,0,0,10,201,32,233
Los Angeles ChargersLA Chargers,vs NO,12,5.0,0,0,0,0,0,8,249,117,366
Kansas City ChiefsKansas City,@ LV,11,5.0,0,0,1,0,0,20,195,33,228
Denver BroncosDenver,vs CAR,10,2.0,2,0,0,0,0,14,215,69,284
Washington CommandersWashington,vs CHI,9,3.0,0,0,1,0,0,15,105,202,307
Los Angeles RamsLA Rams,vs MIN,9,3.0,0,1,0,0,0,20,212,64,276
Philadelphia EaglesPhiladelphia,@ CIN,9,1.0,1,0,1,0,0,17,222,58,280
Atlanta FalconsAtlanta,@ TB,7,0.0,2,0,1,0,0,26,330,102,432
San Francisco 49ersSan Francisco,vs DAL,7,2.0,2,0,0,0,0,24,236,56,292
New York GiantsNY Giants,@ PIT,7,4.0,0,0,1,0,0,26,259,167,426
Green Bay PackersGreen Bay,@ JAX,6,1.0,1,0,1,0,0,27,299,91,390
New Orleans SaintsNew Orleans,@ LAC,6,3.0,0,1,0,0,0,26,256,122,378
Carolina PanthersCarolina,@ DEN,6,2.0,0,0,2,0,0,28,298,102,400
Chicago BearsChicago,@ WAS,6,2.0,0,0,0,0,0,18,313,168,481
Indianapolis ColtsIndianapolis,@ HOU,5,2.0,0,0,1,0,0,23,267,96,363
Las Vegas RaidersLas Vegas,vs KC,4,1.0,1,0,0,0,0,27,252,82,334
Arizona CardinalsArizona,@ MIA,4,1.0,0,1,0,0,0,27,227,150,377
Tennessee TitansTennessee,@ DET,4,4.0,0,0,0,0,0,52,61,164,225
Tampa Bay BuccaneersTampa Bay,vs ATL,4,2.0,0,1,0,0,0,31,265,129,394
Baltimore RavensBaltimore,@ CLE,4,2.0,0,0,1,0,0,29,321,80,401
Cleveland BrownsCleveland,vs BAL,4,3.0,0,0,0,0,0,24,263,124,387
New York JetsNY Jets,@ NE,3,2.0,0,0,0,0,0,25,136,112,248
Seattle SeahawksSeattle,vs BUF,3,1.0,1,0,0,0,0,31,281,164,445
Jacksonville JaguarsJacksonville,vs GB,3,1.0,1,0,0,0,0,30,252,170,422
Dallas CowboysDallas,@ SF,2,2.0,0,0,0,0,0,30,246,223,469
New England PatriotsNew England,vs NYJ,2,1.0,0,0,0,0,0,22,224,112,336
Minnesota VikingsMinnesota,@ LA,2,0.0,1,0,0,0,0,30,279,107,386
Cincinnati BengalsCincinnati,vs PHI,0,0.0,0,0,0,0,0,37,236,161,397
Miami DolphinsMiami,vs ARI,0,0.0,0,0,0,0,0,28,307,82,389
